GSM6720852	_9C_
GSM6720853	_9G_
GSM6720854	_24C_
GSM6720855	_24G_
GSM6720856	_26C_
GSM6720857	_26G_
GSM6720858	_11C_
GSM6720859	_11G_
GSM6720860	_56C_
GSM6720861	_56G_
GSM6720862	_34C_
GSM6720863	_34G_
GSM6720864	_30C_
GSM6720865	_30G_
GSM6720866	_63C_
GSM6720867	_63G_
GSM6720868	_23C_
GSM6720869	_23G_
GSM6720870	_62C_
GSM6720871	_62G_
GSM6720872	_64C_
GSM6720873	_64G_
GSM6720874	_3C_
GSM6720875	_3G_
GSM6720876	_60C_
GSM6720877	_60G_
GSM6720878	_10C_
GSM6720879	_10G_
GSM6720880	_6C_
GSM6720881	_6G_
GSM6720882	_31C_
GSM6720883	_31G_
GSM6720884	_2C_
GSM6720885	_2G_
GSM6720886	_20C_
GSM6720887	_20G_
