,cluster,gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
1,0,SORBS2,0,1.89851904981628,0.994,0.692,0
2,0,EML6,6.11106116272339e-272,1.88614053438376,0.721,0.197,1.53179859104825e-267
3,0,NTM,7.1762143406369e-286,1.78856143458181,0.991,0.716,1.79878988662404e-281
4,0,KCNQ3,4.04820268954084e-266,1.66586206644189,0.995,0.71,1.01472248616031e-261
5,0,CNTNAP2,3.07376664089097e-184,1.59586768047609,0.955,0.666,7.7047034620573e-180
6,0,DOK6,9.40315395078798e-274,1.58929791935142,0.993,0.691,2.35699456930451e-269
7,0,NRG1,6.11052241796742e-226,1.5246454660946,1,0.939,1.53166354928771e-221
8,0,RBFOX3,3.58218007693586e-236,1.49554044845019,0.867,0.345,8.97909258084743e-232
9,0,KCTD16,5.09490993399599e-187,1.48747036288243,0.746,0.271,1.27709012405544e-182
10,0,UNC5D,1.71398254940883e-264,1.46974589889112,0.999,0.896,4.29626865834816e-260
11,1,NRXN3,0,4.10791721183271,1,0.608,0
12,1,PDZRN3,0,3.7604888077634,0.845,0.224,0
13,1,ERBB4,0,3.74199765936065,1,0.741,0
14,1,ADARB2,9.52225599094922e-264,3.66199972010375,0.603,0.127,2.38684868669133e-259
15,1,DLX6-AS1,0,3.39476103025301,0.961,0.242,0
16,1,NXPH1,2.64427405235628e-141,3.0415153198849,0.476,0.134,6.62813733963626e-137
17,1,ZNF536,0,2.98529834936293,0.907,0.215,0
18,1,THRB,0,2.85189676060004,0.72,0.14,0
19,1,PRKCA,3.77229706549678e-192,2.63220852985153,0.825,0.471,9.45563982437424e-188
20,1,ST8SIA5,0,2.63112677905967,0.74,0.074,0
21,2,MARCKS,1.27213713790493e-10,1.24704018027773,0.522,0.651,3.18873894987251e-06
22,2,MAP1B,3.89697575635925e-123,1.23082781541477,0.935,0.973,9.76815943089011e-119
23,2,TUBA1A,6.44851877047471e-19,1.1407328798931,0.623,0.778,1.61638571500719e-14
24,2,EEF1A1,1.0409746773493e-23,1.08239453932839,0.628,0.723,2.60930712624376e-19
25,2,ACTG1,2.08099484254957e-09,1.0598196009899,0.535,0.696,5.21622167233475e-05
26,2,PTMA,1.90627601793332e-09,1.0579609888802,0.546,0.719,4.77827146655167e-05
27,2,TMSB4X,1.81511872874178e-09,1.0508649003706,0.54,0.699,4.54977660546415e-05
28,2,AC105402.3,4.81623357165151e-53,1.0104904790524,0.813,0.867,1.20723710707017e-48
29,2,MTRNR2L8,1.03202034609456e-27,1.00932753308747,0.661,0.722,2.58686219952063e-23
30,2,ACTB,0.000123228017367673,1.0010152571347,0.492,0.678,1
31,3,TUBA1A,1.78704255148953e-13,1.18583550461147,0.603,0.777,4.47940085956366e-09
32,3,MARCKS,0.000153873028916095,1.16312709578469,0.483,0.652,1
33,3,TMSB4X,2.0531578071662e-07,1.15548213790152,0.526,0.698,0.0051464453594428
34,3,MAP1B,3.14806913655327e-98,1.1427566612666,0.925,0.973,7.89095009768444e-94
35,3,TUBB2B,1.06866764933907e-10,1.10717330091581,0.562,0.713,2.67872232983331e-06
36,3,TUBB,0.00376538402283753,1.09086429290862,0.438,0.577,1
37,3,ACTB,0.000357187255092526,1.06191809674663,0.487,0.676,1
38,3,ACTG1,9.06003441124495e-06,1.05238320668257,0.513,0.696,0.227098822552266
39,3,EEF1A1,6.23330593719871e-10,1.04113946173734,0.564,0.727,1.56244046621823e-05
40,3,RPS9,0.00492916624772668,0.979473238650713,0.276,0.465,1
41,4,EEPD1,0,2.90458361500333,0.982,0.285,0
42,4,TNC,0,2.66200500613674,0.931,0.167,0
43,4,TMEM132B,1.98872860380377e-247,2.42158144705669,0.998,0.579,4.98494711829454e-243
44,4,MMD2,0,2.24804473141234,0.77,0.086,0
45,4,PTN,5.73327717617939e-220,2.22578687914376,0.984,0.506,1.43710325698113e-215
46,4,MAST4,4.52464908842617e-244,2.07509306647078,0.971,0.344,1.1341485405049e-239
47,4,RGS20,3.45530587534446e-277,2.05793062369384,0.879,0.203,8.66106970713843e-273
48,4,FBN2,1.78679166822322e-117,1.97179822456432,0.632,0.199,4.47877199556833e-113
49,4,CREB5,7.26833909740789e-193,1.94471071323706,0.949,0.385,1.82188187815626e-188
50,4,GPC5,6.68277687782145e-129,1.93269849588364,0.554,0.14,1.67510485219473e-124
51,5,GPR39,4.65913173382767e-186,2.15404073691857,0.831,0.254,1.16785796040124e-181
52,5,GRAMD1B,1.89897607295208e-178,2.04124292299384,0.993,0.661,4.75997342446169e-174
53,5,SMOC1,1.08206389884749e-179,1.93001174535335,0.922,0.349,2.71230136885112e-175
54,5,ZNF423,3.88086432727261e-162,1.80477441394061,0.905,0.356,9.72777452274153e-158
55,5,KIF26B,2.11795618924524e-102,1.65244801994145,0.914,0.547,5.30886898396212e-98
