NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
EPHB-MEDIATED FORWARD SIGNALING%REACTOME DATABASE ID RELEASE 60%3928662	EPHB-MEDIATED FORWARD SIGNALING%REACTOME DATABASE ID RELEASE 60%3928662	Details ...	17	0.6911542	2.060518	0.0	0.02940658	0.027	546	tags=65%, list=25%, signal=86%	
EPHB FORWARD SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%EPHB FORWARD SIGNALING	EPHB FORWARD SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%EPHB FORWARD SIGNALING	Details ...	22	0.64600086	2.0497944	0.0	0.01634133	0.03	317	tags=45%, list=15%, signal=53%	
PID_EPHB_FWD_PATHWAY%MSIGDB_C2%PID_EPHB_FWD_PATHWAY	PID_EPHB_FWD_PATHWAY%MSIGDB_C2%PID_EPHB_FWD_PATHWAY	Details ...	22	0.6460008	2.0491326	0.0	0.010894219	0.03	317	tags=45%, list=15%, signal=53%	
EPH-EPHRIN SIGNALING%REACTOME DATABASE ID RELEASE 60%2682334	EPH-EPHRIN SIGNALING%REACTOME DATABASE ID RELEASE 60%2682334	Details ...	32	0.58294594	2.0174115	0.0	0.018053	0.063	546	tags=56%, list=25%, signal=74%	
HETEROTRIMERIC G-PROTEIN SIGNALING PATHWAY-GQ ALPHA AND GO ALPHA MEDIATED PATHWAY%PANTHER PATHWAY%P00027	HETEROTRIMERIC G-PROTEIN SIGNALING PATHWAY-GQ ALPHA AND GO ALPHA MEDIATED PATHWAY%PANTHER PATHWAY%P00027	Details ...	15	0.6920792	1.9883417	0.001490313	0.021232294	0.092	602	tags=87%, list=28%, signal=120%	
GASTRIN_CCK2R_240212%PANTHER PATHWAY%P06959	GASTRIN_CCK2R_240212%PANTHER PATHWAY%P06959	Details ...	37	0.5378825	1.9143721	0.0026075619	0.04198263	0.198	511	tags=51%, list=24%, signal=66%	
ANGIOGENESIS%PANTHER PATHWAY%P00005	ANGIOGENESIS%PANTHER PATHWAY%P00005	Details ...	20	0.61979777	1.9123192	0.0	0.03723591	0.203	362	tags=50%, list=17%, signal=60%	
BIOCARTA_MET_PATHWAY%MSIGDB_C2%BIOCARTA_MET_PATHWAY	BIOCARTA_MET_PATHWAY%MSIGDB_C2%BIOCARTA_MET_PATHWAY	Details ...	16	0.6554937	1.8945409	0.0015037594	0.040814944	0.247	603	tags=69%, list=28%, signal=95%	
SIGNALING BY MET%REACTOME DATABASE ID RELEASE 60%6806834	SIGNALING BY MET%REACTOME DATABASE ID RELEASE 60%6806834	Details ...	21	0.6001	1.8903714	0.0057720058	0.037847146	0.255	519	tags=52%, list=24%, signal=68%	
G ALPHA (12 13) SIGNALLING EVENTS%REACTOME DATABASE ID RELEASE 60%416482	G ALPHA (12 13) SIGNALLING EVENTS%REACTOME DATABASE ID RELEASE 60%416482	Details ...	17	0.6365988	1.8826966	0.0	0.037235398	0.274	593	tags=76%, list=28%, signal=105%	
NONHOMOLOGOUS END-JOINING (NHEJ)%REACTOME DATABASE ID RELEASE 60%5693571	NONHOMOLOGOUS END-JOINING (NHEJ)%REACTOME DATABASE ID RELEASE 60%5693571	Details ...	17	0.632573	1.8678502	0.0015873016	0.039725687	0.315	131	tags=29%, list=6%, signal=31%	
GPCR DOWNSTREAM SIGNALING%REACTOME%R-HSA-388396.2	GPCR DOWNSTREAM SIGNALING%REACTOME%R-HSA-388396.2	Details ...	31	0.5288917	1.8533678	0.0028011205	0.042172883	0.358	602	tags=58%, list=28%, signal=80%	
BIOCARTA_INTEGRIN_PATHWAY%MSIGDB_C2%BIOCARTA_INTEGRIN_PATHWAY	BIOCARTA_INTEGRIN_PATHWAY%MSIGDB_C2%BIOCARTA_INTEGRIN_PATHWAY	Details ...	20	0.5809285	1.8306402	0.0042918455	0.051584546	0.45	549	tags=55%, list=26%, signal=73%	
REGULATION OF INSULIN SECRETION%REACTOME DATABASE ID RELEASE 60%422356	REGULATION OF INSULIN SECRETION%REACTOME DATABASE ID RELEASE 60%422356	Details ...	21	0.5771437	1.8107711	0.0014662757	0.0617388	0.534	517	tags=57%, list=24%, signal=75%	
MHC CLASS II ANTIGEN PRESENTATION%REACTOME%R-HSA-2132295.3	MHC CLASS II ANTIGEN PRESENTATION%REACTOME%R-HSA-2132295.3	Details ...	38	0.5042711	1.802642	0.0	0.06225381	0.563	600	tags=61%, list=28%, signal=83%	
BIOCARTA_RHO_PATHWAY%MSIGDB_C2%BIOCARTA_RHO_PATHWAY	BIOCARTA_RHO_PATHWAY%MSIGDB_C2%BIOCARTA_RHO_PATHWAY	Details ...	17	0.616313	1.8025517	0.009118541	0.05836295	0.563	593	tags=59%, list=28%, signal=81%	
ADAPTIVE IMMUNE SYSTEM%REACTOME DATABASE ID RELEASE 60%1280218	ADAPTIVE IMMUNE SYSTEM%REACTOME DATABASE ID RELEASE 60%1280218	Details ...	133	0.39869842	1.790847	0.0	0.06142979	0.596	600	tags=44%, list=28%, signal=57%	
PID_TRKR_PATHWAY%MSIGDB_C2%PID_TRKR_PATHWAY	PID_TRKR_PATHWAY%MSIGDB_C2%PID_TRKR_PATHWAY	Details ...	18	0.59535044	1.7892238	0.0057471264	0.058746804	0.6	603	tags=61%, list=28%, signal=84%	
