Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
cadherin binding (GO:0045296)	21/322	3.011761838800728E-14	7.0174050844056955E-12	0	0	10.740340596960264	334.3861775796669	DBNL;ANXA2;RDX;OLA1;IQGAP1;PAICS;PRDX6;LDHA;CAPZB;VAPA;EEF1D;PLIN3;CDH13;FLNA;DCHS1;RPS2;PFN1;EZR;MAPRE1;CLIC1;DBN1
RNA binding (GO:0003723)	34/1406	5.616934863145398E-10	6.543729115564388E-8	0	0	4.0171858216971	85.56631836735122	ARF1;SF3B2;CELF2;HSPB1;RPS4X;RBM3;PTBP1;EXOSC6;GANAB;G3BP1;G3BP2;DHX15;FLNA;RPS2;DUT;RBFOX2;ANXA2;RDX;MSN;LSM3;QKI;PSPC1;PRKRA;NOVA1;NOVA2;KCTD12;PABPC1;P4HB;VIM;PFN1;EZR;LSM14B;MAPRE1;RPS23
mRNA binding (GO:0003729)	12/263	6.230212751733019E-7	4.838798570512645E-5	0	0	6.890438247011952	98.45530278927289	PTBP1;RBFOX2;SHMT2;NOVA1;CELF2;NOVA2;G3BP1;G3BP2;PABPC1;RPS2;LSM14B;QKI
oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (GO:0016616)	7/87	3.7548048548855764E-6	2.1871738279708483E-4	0	0	12.269858156028368	153.28088698562294	CBR1;UGDH;LDHB;GRHPR;LDHA;SORD;PHGDH
actin binding (GO:0003779)	8/177	5.27991808135396E-5	0.0024604418259109454	0	0	6.655283178360102	65.54798306937317	DBNL;CAPZB;MAP1S;RDX;P4HB;PFN1;EZR;DBN1
L-lactate dehydrogenase activity (GO:0004459)	2/5	5.360134629173235E-4	0.020815189476622732	0	0	90.63470319634703	682.6017879144435	LDHB;LDHA
DNA replication origin binding (GO:0003688)	3/23	6.308064500585948E-4	0.020996843266236083	0	0	20.515862068965518	151.17136513057093	MCM7;MCM3;MCM2
lactate dehydrogenase activity (GO:0004457)	2/6	8.001158284462061E-4	0.023189727140983947	0	0	67.97260273972603	484.6959126300919	LDHB;LDHA
oxidoreduction-driven active transmembrane transporter activity (GO:0015453)	4/58	8.957405333427275E-4	0.023189727140983947	0	0	10.184156378600823	71.47098134331296	NDUFA13;NDUFS1;COX5A;NDUFV1
intramolecular oxidoreductase activity, interconverting aldoses and ketoses (GO:0016861)	2/8	0.0014790894278400844	0.03226525514702657	0	0	45.31050228310502	295.2581233581681	TPI1;MRI1
microtubule binding (GO:0008017)	7/232	0.0017310730924641395	0.03226525514702657	0	0	4.330622537431048	27.53848838330955	MAP1LC3B;VAPA;MAP1S;MAP2;DCX;EZR;MAPRE1
double-stranded RNA binding (GO:0003725)	4/73	0.002109542562390122	0.03226525514702657	0	0	7.964170692431562	49.06951865575755	PRKRA;DHX15;MSN;VIM
NADH dehydrogenase (quinone) activity (GO:0050136)	3/35	0.0021848004521811152	0.03226525514702657	0	0	12.814655172413794	78.50553496306597	NDUFA13;NDUFS1;NDUFV1
NADH dehydrogenase (ubiquinone) activity (GO:0008137)	3/35	0.0021848004521811152	0.03226525514702657	0	0	12.814655172413794	78.50553496306597	NDUFA13;NDUFS1;NDUFV1
kinase binding (GO:0019900)	10/461	0.0023138721846396424	0.03226525514702657	0	0	3.1172274173334618	18.91793226786451	PPP1CB;DLG2;DLG4;DCX;MSN;HSPB1;FLNA;THY1;IQGAP1;MAPRE1
nucleoside-triphosphate diphosphatase activity (GO:0047429)	2/10	0.002354117328323827	0.03226525514702657	0	0	33.97945205479452	205.62969286743447	DUT;DCTPP1
phospholipase inhibitor activity (GO:0004859)	2/10	0.002354117328323827	0.03226525514702657	0	0	33.97945205479452	205.62969286743447	ANXA2;ANXA5
