Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Cysteine and methionine metabolism	7/50	8.063310661910405E-8	1.3868894338485896E-5	0	0	22.870361207323107	373.54976333286874	MPST;LDHB;LDHA;AHCY;MRI1;PHGDH;MAT2B
DNA replication	5/36	6.496983217938853E-6	5.587405567427414E-4	0	0	22.356192194901872	267.02621845850115	RNASEH2C;PCNA;MCM7;MCM3;MCM2
Glycolysis / Gluconeogenesis	6/67	1.0206775298661868E-5	5.851884504566138E-4	0	0	13.708843223274071	157.54831612037069	LDHB;LDHA;TPI1;ENO2;ALDH7A1;HK1
Proteoglycans in cancer	8/205	1.4695162604531757E-4	0.0063189199199486555	0	0	5.701232777374909	50.31570023142238	PPP1CB;RDX;CAMK2A;MSN;FLNA;IQGAP1;FLNC;EZR
Glycine, serine and threonine metabolism	4/40	2.1388610138797372E-4	0.007357681887746295	0	0	15.290123456790123	129.2025664422978	GRHPR;SHMT2;PHGDH;ALDH7A1
Pyruvate metabolism	4/47	4.010260318898358E-4	0.011496079580841959	0	0	12.796511627906977	100.08771370900905	LDHB;GRHPR;LDHA;ALDH7A1
HIF-1 signaling pathway	5/109	0.0013067297007093	0.02993592002945433	0	0	6.639322216245293	44.08661112138097	LDHB;LDHA;CAMK2A;ENO2;HK1
Glyoxylate and dicarboxylate metabolism	3/30	0.001392368373462992	0.02993592002945433	0	0	15.191570881226054	99.91115036332026	GRHPR;SHMT2;CAT
Tight junction	6/169	0.0016337308129261597	0.031222411091477716	0	0	5.1038624384342866	32.75091892900938	SLC9A3R1;DLG2;PCNA;RDX;MSN;EZR
Fructose and mannose metabolism	3/33	0.0018410454039032333	0.03166598094713561	0	0	13.670344827586208	86.08792636063933	TPI1;SORD;HK1
Sulfur metabolism	2/10	0.002354117328323827	0.036809834588336206	0	0	33.97945205479452	205.62969286743447	MPST;SELENBP1
RNA degradation	4/79	0.0028143419950533446	0.04033890192909794	0	0	7.324814814814815	43.01883367033529	EXOSC6;PABPC1;ENO2;LSM3
Oxidative phosphorylation	5/133	0.0031218694316893967	0.04130473401927509	0	0	5.387893356643357	31.084498571411327	NDUFA13;ATP6V1G2;NDUFS1;NDUFV1;COX5A
Diabetic cardiomyopathy	6/203	0.004063425183892742	0.04992208083068226	0	0	4.215700293129334	23.210503442159656	PPP1CB;NDUFA13;CAMK2A;NDUFS1;NDUFV1;COX5A
Regulation of actin cytoskeleton	6/218	0.005727456131757113	0.06412148864415226	0	0	3.9144299760829124	20.20818134910053	PPP1CB;RDX;MSN;IQGAP1;PFN1;EZR
Non-alcoholic fatty liver disease	5/155	0.005964789641316489	0.06412148864415226	0	0	4.592540792540793	23.52244967531833	NDUFA13;GSK3A;NDUFS1;NDUFV1;COX5A
