Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Pathways in clear cell renal cell carcinoma WP4018	8/85	2.211388690733195E-7	3.9362718695050873E-5	0	0	14.675324675324676	224.8916456037734	LDHB;LDHA;TPI1;SHMT2;CDH13;PHGDH;ENO2;HK1
VEGFA-VEGFR2 Signaling Pathway WP3888	15/432	7.815235070552796E-7	6.955559212791988E-5	0	0	5.256396386650079	73.9155543135835	CACNA2D1;HSPB1;CRIP2;IQGAP1;PRDX6;QKI;LDHA;CSRP2;CAPZB;PRKRA;PABPC1;P4HB;PFN1;EZR;CLIC1
Trans-sulfuration and one-carbon metabolism WP2525	5/31	3.0166820239471755E-6	1.7898980008753242E-4	0	0	26.662183969876278	338.9124321419748	AHCY;MTHFD1;SHMT2;PHGDH;MAT2B
Glycolysis and Gluconeogenesis WP534	5/45	1.9957888048980315E-5	8.88126018179624E-4	0	0	17.318181818181817	187.4153911274666	LDHB;LDHA;TPI1;ENO2;HK1
Ciliary landscape WP4352	9/216	3.389342105773159E-5	0.0012066057896552448	0	0	6.144823271817328	63.2443008479572	RAB2A;PGRMC2;MCM7;CAMK2A;MCM3;CEP170;IQGAP1;VIM;MCM2
Trans-sulfuration pathway WP2333	3/10	4.586755668662118E-5	0.0013607375150364283	0	0	58.6551724137931	585.9506562450003	MPST;AHCY;MAT2B
One-carbon metabolism WP241	4/30	6.792737838486149E-5	0.0017272961932150493	0	0	21.181623931623932	203.2815569939852	AHCY;MTHFD1;SHMT2;MAT2B
Computational Model of Aerobic Glycolysis WP4629	3/12	8.318105963217211E-5	0.0018507785768158294	0	0	45.61609195402299	428.5399600579239	LDHA;TPI1;HK1
Cori Cycle WP1946	3/17	2.5021651330965595E-4	0.004609675435298938	0	0	29.317241379310346	243.13327600733757	LDHA;TPI1;HK1
DNA Replication WP466	4/42	2.5897053007297404E-4	0.004609675435298938	0	0	14.48391812865497	119.61972925114858	PCNA;MCM7;MCM3;MCM2
Prostaglandin Synthesis and Regulation WP98	4/45	3.3885149264724454E-4	0.005483233244655412	0	0	13.422086720867208	107.24178329108014	CBR1;ANXA2;ANXA5;ANXA6
Methionine De Novo and Salvage Pathway WP3580	3/22	5.515073525763828E-4	0.008180692396549678	0	0	21.5967332123412	162.0371661324284	AHCY;MRI1;MAT2B
Arachidonate Epoxygenase / Epoxide Hydrolase WP678	2/7	0.0011147250767436208	0.01526315874310496	0	0	54.37534246575343	369.70597228777467	GSTP1;COX5A
G1 to S cell cycle control WP45	4/64	0.0012962684118152884	0.01645486988472094	0	0	9.162962962962963	60.91781141138686	PCNA;MCM7;MCM3;MCM2
Serine Metabolism WP4688	2/8	0.0014790894278400844	0.01645486988472094	0	0	45.31050228310502	295.2581233581681	SHMT2;PHGDH
HIF1A and PPARG regulation of glycolysis WP2456	2/8	0.0014790894278400844	0.01645486988472094	0	0	45.31050228310502	295.2581233581681	LDHA;TPI1
Folate Metabolism WP176	4/69	0.0017141480081453503	0.01794813796763955	0	0	8.455982905982905	53.85479464560449	AHCY;MTHFD1;SHMT2;CAT
Disruption of postsynaptic signaling by CNV WP4875	3/33	0.0018410454039032333	0.01820589343859864	0	0	13.670344827586208	86.08792636063933	NLGN3;DLG2;CAMK2A
mRNA Processing WP411	5/126	0.0024717153323345594	0.023156069955555345	0	0	5.7016124371496275	34.225883753089846	PTBP1;SF3B2;SF3B3;CELF2;DHX15
Methionine metabolism leading to sulfur amino acids and related disorders WP4292	2/11	0.002863318100961287	0.02415637207096796	0	0	30.202435312024352	176.85864001166365	AHCY;MAT2B
Glycolysis in senescence WP5049	2/11	0.002863318100961287	0.02415637207096796	0	0	30.202435312024352	176.85864001166365	LDHA;HK1
G13 Signaling Pathway WP524	3/39	0.0029856190200072755	0.02415637207096796	0	0	11.388505747126437	66.21218222441637	PPP1CB;IQGAP1;PFN1
Metabolic reprogramming in colon cancer WP4290	3/42	0.003690296410463604	0.028559685263587892	0	0	10.510875331564987	58.88243334406595	LDHA;SHMT2;PAICS
Disorders of Folate Metabolism and Transport WP4259	2/13	0.004021496387506467	0.029826098207339634	0	0	24.70859277708593	136.2950985129956	MTHFD1;SHMT2
Amino Acid metabolism WP3925	4/91	0.004676463587544212	0.033296420743314785	0	0	6.310664112388251	33.858057755276626	MPST;LDHA;WARS;ALDH7A1
Regulation of Actin Cytoskeleton WP51	5/150	0.0052016220921722615	0.03422285690437153	0	0	4.752109959006511	24.990323436140383	RDX;MSN;IQGAP1;PFN1;EZR
Cysteine and methionine catabolism WP4504	2/15	0.005361339763639019	0.03422285690437153	0	0	20.905163329820866	109.3035115095383	MPST;AHCY
Exercise-induced Circadian Regulation WP410	3/48	0.005383370749002264	0.03422285690437153	0	0	9.106666666666667	47.5772387700976	VAPA;GSTP1;QKI
Nonalcoholic fatty liver disease WP4396	5/155	0.005964789641316489	0.036611467453597765	0	0	4.592540792540793	23.52244967531833	NDUFA13;GSK3A;NDUFS1;NDUFV1;COX5A
Apoptosis-related network due to altered Notch3 in ovarian cancer WP2864	3/53	0.007098288968784616	0.04111917393914474	0	0	8.193931034482759	40.54276377350281	ANXA5;HSPB1;VIM
EGF/EGFR signaling pathway WP437	5/162	0.007161204450075769	0.04111917393914474	0	0	4.386218876664737	21.6638731780599	NDUFA13;PCNA;CAMK2A;IQGAP1;SH3GL2
Mitochondrial complex I assembly model OXPHOS system WP4324	3/56	0.008265456302191646	0.04597660068094103	0	0	7.7289525048796355	37.06550828890248	NDUFA13;NDUFS1;NDUFV1
Cell cycle WP179	4/120	0.01220101324662683	0.06581152599695683	0	0	4.726053639846743	20.824108998198927	PCNA;MCM7;MCM3;MCM2
Ebola Virus Pathway on Host WP4217	4/129	0.015545048826221772	0.08003076225780816	0	0	4.3837777777777776	18.254108070116864	PRKRA;FLNA;IQGAP1;FLNC
Glucuronidation WP698	2/26	0.01573638583720947	0.08003076225780816	0	0	11.317351598173516	46.98715038313553	UGDH;HK1
16p11.2 proximal deletion syndrome WP4949	3/74	0.017558050364689826	0.08681480458096637	0	0	5.764254492472074	23.300515781519355	PCNA;MSN;EZR
Retinoblastoma gene in cancer WP2446	3/87	0.02679520701590355	0.12890667159002248	0	0	4.86896551724138	17.623377714522245	PCNA;MCM7;MCM3
Cytoplasmic Ribosomal Proteins WP477	3/89	0.02840631185008129	0.13306114498195973	0	0	4.755252606255012	16.93413886054232	RPS4X;RPS2;RPS23
Melatonin metabolism and effects WP3298	2/37	0.030590322748681478	0.13612693623163258	0	0	7.756164383561644	27.046300314819636	MAP2;CAMK2A
Photodynamic therapy-induced HIF-1 survival signaling WP3614	2/37	0.030590322748681478	0.13612693623163258	0	0	7.756164383561644	27.046300314819636	LDHA;HK1
Glycogen Synthesis and Degradation WP500	2/40	0.03531687253719723	0.15332691003953922	0	0	7.142754145638068	23.88104459451772	GSK3A;HK1
Vitamin B6-dependent and responsive disorders WP4228	1/5	0.03645982524307186	0.1545202117444474	0	0	33.755102040816325	111.78151585561791	ALDH7A1
Tryptophan metabolism WP465	2/42	0.03861437457665445	0.15621269715101122	0	0	6.784931506849315	22.079053733868612	WARS;CAT
Common Pathways Underlying Drug Addiction WP2636	2/42	0.03861437457665445	0.15621269715101122	0	0	6.784931506849315	22.079053733868612	PPP1CB;CAMK2A
Electron Transport Chain (OXPHOS system in mitochondria) WP111	3/103	0.041086314027655606	0.1625191977093933	0	0	4.086620689655172	13.044821008636221	NDUFS1;NDUFV1;COX5A
mir-124 predicted interactions with cell cycle and differentiation  WP3595	1/6	0.04359178583983181	0.16868125824978394	0	0	27.002721088435376	84.59646156406902	PTBP1
NO/cGMP/PKG mediated Neuroprotection WP4008	2/47	0.04734121526635116	0.1755570066127189	0	0	6.029528158295282	18.392315951657096	DLG4;CAMK2A
Endoplasmic reticulum stress response in coronavirus infection WP4861	2/47	0.04734121526635116	0.1755570066127189	0	0	6.029528158295282	18.392315951657096	PPP1CB;PPP1R7
Cerebral organic acidurias, including diseases WP4519	1/7	0.050671312749703754	0.18038987338894535	0	0	22.501133786848072	67.10727682064287	ALDH7A1
Glial Cell Differentiation WP2276	1/7	0.050671312749703754	0.18038987338894535	0	0	22.501133786848072	67.10727682064287	MSN
Translation Factors WP107	2/52	0.05670966803992434	0.19792786100208887	0	0	5.425205479452055	15.569312032695354	EEF1D;PABPC1
Focal Adhesion WP306	4/198	0.0597346584876649	0.20447633097700676	0	0	2.8147193585337917	7.931436911670672	PPP1CB;TNR;FLNA;FLNC
Pathogenic Escherichia coli infection WP2272	2/55	0.06261457000936727	0.2102904426729693	0	0	5.117342982682864	14.178915324570266	TUBB6;EZR
Methylation Pathways WP704	1/9	0.06467459271360257	0.21318662042631958	0	0	16.874149659863946	46.20794950585693	MAT2B
Oxidative phosphorylation WP623	2/60	0.0728909636457808	0.2359016641627088	0	0	4.6750118091639115	12.242876995345728	NDUFS1;NDUFV1
AGE/RAGE pathway WP2324	2/66	0.08587611375097062	0.2729633615655852	0	0	4.2354452054794525	10.397380795179195	MSN;EZR
Mammary gland development pathway - Puberty (Stage 2 of 4) WP2814	1/13	0.09206859835283705	0.2825553535656034	0	0	11.24716553287982	26.826979305512165	VIM
NO metabolism in cystic fibrosis WP4947	1/13	0.09206859835283705	0.2825553535656034	0	0	11.24716553287982	26.826979305512165	DDAH1
NRF2 pathway WP2884	3/146	0.0943156621157928	0.28454555689171385	0	0	2.8515553412105135	6.732830171203914	CBR1;GSTP1;PRDX6
H19 action Rb-E2F1 signaling and CDK-Beta-catenin activity WP3969	1/14	0.09879164917820933	0.2878003477266761	0	0	10.381475667189953	24.030439828110733	CSRP2
Primary focal segmental glomerulosclerosis (FSGS) WP2572	2/72	0.09949417663078035	0.2878003477266761	0	0	3.871232876712329	8.93347440578876	PCNA;VIM
Calcium Regulation in the Cardiac Cell WP536	3/150	0.10024506493850516	0.2878003477266761	0	0	2.773399014778325	6.379198914258541	GNB1;CAMK2A;ANXA6
MAPK Signaling Pathway WP382	4/246	0.11009333669516769	0.30695351342032656	0	0	2.250918273645546	4.9664863080630965	CACNA2D1;HSPB1;FLNA;FLNC
Metabolic pathway of LDL, HDL and TG, including diseases WP4522	1/16	0.11208976613663611	0.30695351342032656	0	0	8.996371882086168	19.688157234385223	ANXA2
Pathways of nucleic acid metabolism and innate immune sensing WP4705	1/16	0.11208976613663611	0.30695351342032656	0	0	8.996371882086168	19.688157234385223	RNASEH2C
DNA IR-damage and cellular response via ATR WP4016	2/80	0.11850042564810534	0.31386405331349365	0	0	3.472778363189322	7.40687618137487	PCNA;MCM2
Airway smooth muscle cell contraction WP4962	1/17	0.11866555206318279	0.31386405331349365	0	0	8.433673469387756	17.975921517736868	PPP1CB
Simplified Interaction Map Between LOXL4 and Oxidative Stress Pathway WP3670	1/18	0.12519296508571937	0.31386405331349365	0	0	7.937174869947979	16.492647814827816	ANXA5
TGF-B Signaling in Thyroid Cells for Epithelial-Mesenchymal Transition WP3859	1/18	0.12519296508571937	0.31386405331349365	0	0	7.937174869947979	16.492647814827816	VIM
Transcription co-factors SKI and SKIL protein partners WP4533	1/18	0.12519296508571937	0.31386405331349365	0	0	7.937174869947979	16.492647814827816	SATB2
Fatty acid transporters WP5061	1/18	0.12519296508571937	0.31386405331349365	0	0	7.937174869947979	16.492647814827816	FABP5
Pyrimidine metabolism WP4022	2/85	0.13080266786300662	0.3206351665783444	0	0	3.2627496286515925	6.6366462709575655	DUT;DCTPP1
Extracellular vesicles in the crosstalk of cardiac cells WP4300	1/19	0.1316723586731457	0.3206351665783444	0	0	7.495842781557068	15.197360794380689	HSPB1
Acute viral myocarditis WP4298	2/86	0.13329776588088477	0.3206351665783444	0	0	3.223744292237443	6.496392179392902	CXADR;PABPC1
Hereditary leiomyomatosis and renal cell carcinoma pathway WP4206	1/20	0.13810408360894222	0.32672245120599414	0	0	7.100966702470462	14.058122135286423	LDHA
Selenium Micronutrient Network WP15	2/89	0.14084696365964633	0.32672245120599414	0	0	3.1121083293969454	6.099985471213391	PRDX5;CAT
T-cell receptor (TCR) signaling pathway WP69	2/90	0.1433836961747937	0.32672245120599414	0	0	3.076587795765878	5.975444351192406	DBNL;VIM
Nicotine Activity on Dopaminergic Neurons WP1602	1/21	0.14448848826224206	0.32672245120599414	0	0	6.745578231292517	13.049695067396527	GNB1
PI3K/AKT/mTOR - VitD3 signaling WP4141	1/22	0.15082591837284567	0.32672245120599414	0	0	6.424036281179139	12.151893106042852	LDHA
Purine metabolism and related disorders WP4224	1/22	0.15082591837284567	0.32672245120599414	0	0	6.424036281179139	12.151893106042852	PAICS
Regulation of apoptosis by parathyroid hormone-related protein WP3872	1/22	0.15082591837284567	0.32672245120599414	0	0	6.424036281179139	12.151893106042852	GSK3A
Corticotropin-releasing hormone signaling pathway WP2355	2/93	0.15105093003485326	0.32672245120599414	0	0	2.9747102212855636	5.622613464935279	CAMK2A;GNB1
DNA Mismatch Repair WP531	1/23	0.1571167172354541	0.32672245120599414	0	0	6.131725417439704	11.348390934851706	PCNA
Estrogen signaling pathway WP712	1/23	0.1571167172354541	0.32672245120599414	0	0	6.131725417439704	11.348390934851706	GNB1
Hippo-Yap signaling pathway WP4537	1/23	0.1571167172354541	0.32672245120599414	0	0	6.131725417439704	11.348390934851706	TNIK
B Cell Receptor Signaling Pathway WP23	2/97	0.1613967888283112	0.32672245120599414	0	0	2.8488824801730352	5.196046611788796	GSK3A;CAMK2A
IL1 and megakaryocytes in obesity WP2865	1/24	0.16336122560299707	0.32672245120599414	0	0	5.8648328896776105	10.625853921726193	SELENBP1
Urea cycle and associated pathways WP4595	1/24	0.16336122560299707	0.32672245120599414	0	0	5.8648328896776105	10.625853921726193	LDHB
Photodynamic therapy-induced NFE2L2 (NRF2) survival signaling WP3612	1/24	0.16336122560299707	0.32672245120599414	0	0	5.8648328896776105	10.625853921726193	GSTP1
Mammalian disorder of sexual development WP4842	1/25	0.16955978178754713	0.328061316936776	0	0	5.620181405895692	9.973291336989591	RBFOX2
MTHFR deficiency WP4288	1/25	0.16955978178754713	0.328061316936776	0	0	5.620181405895692	9.973291336989591	ALDH7A1
Hypothesized Pathways in Pathogenesis of Cardiovascular Disease WP3668	1/25	0.16955978178754713	0.328061316936776	0	0	5.620181405895692	9.973291336989591	FLNA
Intracellular trafficking proteins involved in CMT neuropathy WP4856	1/27	0.18182037873406148	0.3418489835075172	0	0	5.187336473050759	8.843039277830465	HSPB1
Photodynamic therapy-induced unfolded protein response WP3613	1/27	0.18182037873406148	0.3418489835075172	0	0	5.187336473050759	8.843039277830465	WARS
Senescence and Autophagy in Cancer WP615	2/105	0.1824474911978322	0.3418489835075172	0	0	2.626546083255752	4.468524115824139	MAP1LC3B;PCNA
Circadian rhythm related genes WP3594	3/201	0.18685620430852887	0.3464625454887306	0	0	2.053709508881923	3.444925022885179	PPP1CB;AHCY;PSPC1
T-Cell Receptor and Co-stimulatory Signaling WP2583	1/29	0.1939011657318861	0.3558186340234611	0	0	4.816326530612245	7.900734332963019	GSK3A
Autophagy WP4923	1/30	0.19987495053362248	0.35937112318166464	0	0	4.650011728829463	7.486813486371484	MAP1LC3B
