Genes,Pathways in clear cell renal cell carcinoma WP4018,VEGFA-VEGFR2 Signaling Pathway WP3888,Trans-sulfuration and one-carbon metabolism WP2525,Glycolysis and Gluconeogenesis WP534,Ciliary landscape WP4352,Trans-sulfuration pathway WP2333,One-carbon metabolism WP241,Computational Model of Aerobic Glycolysis WP4629,Cori Cycle WP1946,DNA Replication WP466,Prostaglandin Synthesis and Regulation WP98,Methionine De Novo and Salvage Pathway WP3580,Arachidonate Epoxygenase / Epoxide Hydrolase WP678,G1 to S cell cycle control WP45,Serine Metabolism WP4688,HIF1A and PPARG regulation of glycolysis WP2456,Folate Metabolism WP176,Disruption of postsynaptic signaling by CNV WP4875,mRNA Processing WP411,Methionine metabolism leading to sulfur amino acids and related disorders WP4292,Glycolysis in senescence WP5049,G13 Signaling Pathway WP524,Metabolic reprogramming in colon cancer WP4290,Disorders of Folate Metabolism and Transport WP4259,Amino Acid metabolism WP3925,Regulation of Actin Cytoskeleton WP51,Cysteine and methionine catabolism WP4504,Exercise-induced Circadian Regulation WP410,Nonalcoholic fatty liver disease WP4396,Apoptosis-related network due to altered Notch3 in ovarian cancer WP2864,EGF/EGFR signaling pathway WP437,Mitochondrial complex I assembly model OXPHOS system WP4324,Cell cycle WP179,Ebola Virus Pathway on Host WP4217,Glucuronidation WP698,16p11.2 proximal deletion syndrome WP4949,Retinoblastoma gene in cancer WP2446,Cytoplasmic Ribosomal Proteins WP477,Melatonin metabolism and effects WP3298,Photodynamic therapy-induced HIF-1 survival signaling WP3614,Glycogen Synthesis and Degradation WP500,Vitamin B6-dependent and responsive disorders WP4228,Tryptophan metabolism WP465,Common Pathways Underlying Drug Addiction WP2636,Electron Transport Chain (OXPHOS system in mitochondria) WP111,mir-124 predicted interactions with cell cycle and differentiation  WP3595,NO/cGMP/PKG mediated Neuroprotection WP4008,Endoplasmic reticulum stress response in coronavirus infection WP4861
AHCY,NA,NA,3.0166820239471755e-6,NA,NA,4.586755668662118e-5,6.792737838486149e-5,NA,NA,NA,NA,5.515073525763828e-4,NA,NA,NA,NA,0.0017141480081453503,NA,NA,0.002863318100961287,NA,NA,NA,NA,NA,NA,0.005361339763639019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ALDH7A1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004676463587544212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03645982524307186,NA,NA,NA,NA,NA,NA
ANXA2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3885149264724454e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANXA5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3885149264724454e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007098288968784616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANXA6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3885149264724454e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CACNA2D1,NA,7.815235070552796e-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMK2A,NA,NA,NA,NA,3.389342105773159e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0018410454039032333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007161204450075769,NA,NA,NA,NA,NA,NA,NA,0.030590322748681478,NA,NA,NA,NA,0.03861437457665445,NA,NA,0.04734121526635116,NA
CAPZB,NA,7.815235070552796e-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0017141480081453503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03861437457665445,NA,NA,NA,NA,NA
CBR1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3885149264724454e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CDH13,2.211388690733195e-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CELF2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0024717153323345594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CEP170,NA,NA,NA,NA,3.389342105773159e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CLIC1,NA,7.815235070552796e-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
COX5A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0011147250767436208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005964789641316489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.041086314027655606,NA,NA,NA
CRIP2,NA,7.815235070552796e-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CSRP2,NA,7.815235070552796e-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DHX15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0024717153323345594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DLG2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0018410454039032333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DLG4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04734121526635116,NA
ENO2,2.211388690733195e-7,NA,NA,1.9957888048980315e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EZR,NA,7.815235070552796e-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0052016220921722615,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.017558050364689826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FLNA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.015545048826221772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FLNC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.015545048826221772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSK3A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005964789641316489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03531687253719723,NA,NA,NA,NA,NA,NA,NA
GSTP1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0011147250767436208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005383370749002264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
