ID	Neurological Region	Age Range
1	DSVZ	14-16
2	LGE	14-16
3	MGE	14-16
4	CBCX	14-16
5	CBWM	14-16
6	CX	14-16
7	DSVZ	14-16
8	LGE	14-16
9	MGE	14-16
10	SC	14-16
11	STRIA	14-16
12	WM	14-16
13	CX	14-16
14	LGE	14-16
15	SC	14-16
16	STRIA	14-16
17	WM	14-16
18	CBCX	14-16
19	CBWM	14-16
20	CX	14-16
21	DSVZ	14-16
22	LGE	14-16
23	MGE	14-16
24	SC	14-16
25	STRIA	14-16
26	WM	14-16
27	CBCX	14-16
28	CBWM	14-16
29	CX	14-16
30	DSVZ	14-16
31	MGE	14-16
32	STRIA	14-16
33	WM	14-16
34	CX	14-16
35	DSVZ	14-16
36	MGE	14-16
37	SC	14-16
38	STRIA	14-16
39	WM	14-16
40	CBCX	14-16
41	CBWM	14-16
42	DSVZ	14-16
43	CBCX	14-16
44	CBWM	14-16
45	LGE	14-16
46	MGE	14-16
47	SC	14-16
48	WM	14-16
