Protein,Gene,33,34,35,36,37,38,39,40,41
Cyclin-dependent kinase 1,CDK1;CDC2,25.53187,25.69599,25.4551,25.4444,23.60908,24.19084,22.61684,24.10286,22.91678
Serpin B6,SERPINB6,17.63572,17.5985,18.07515,22.13126,19.91292,20.56318,21.22647,20.30296,20.57228
Vigilin,HDLBP,24.21312,24.2217,23.38469,24.15553,24.96464,24.26657,23.13768,23.82464,24.23257
EH domain-containing protein 1,EHD1,22.48694,21.6297,22.05036,22.11394,22.3216,21.93772,23.15439,22.18737,23.406
YTH domain-containing family protein 3;YTH domain-containing family protein 1,YTHDF3;YTHDF1,21.72142,21.1218,20.86529,20.72318,20.87538,20.3626,21.03999,20.67762,20.55497
Nitric oxide synthase-interacting protein,NOSIP,19.33361,19.5192,18.39322,20.2674,20.34224,20.13634,20.89623,20.48148,17.83116
Ig alpha-2 chain C region;Ig alpha-1 chain C region,IGHA2;IGHA1,17.96549,17.9304,23.25393,17.97443,17.8757,17.89428,17.9535,17.9549,18.1592
Epiplakin,EPPK1,23.52277,23.78157,22.62366,22.22923,22.65145,22.69748,22.48254,23.95314,22.71429
LisH domain and HEAT repeat-containing protein KIAA1468,KIAA1468,21.39592,21.68003,18.92694,20.45141,21.19322,20.91539,22.35652,22.07901,24.05945
Nucleobindin-2;Nesfatin-1,NUCB2;HEL-S-109;Nucb2,21.25885,20.85331,18.85322,21.89992,22.62743,22.19322,22.94846,21.95624,23.17139
Lymphoid-specific helicase,HELLS,22.58479,22.76977,23.08701,18.29598,18.21018,21.13546,18.27426,20.73868,18.70964
"Thioredoxin reductase 1, cytoplasmic",TXNRD1,24.61521,24.87047,23.9502,24.7752,25.56932,25.01218,24.47352,24.37159,25.10173
"Glutathione peroxidase;Phospholipid hydroperoxide glutathione peroxidase, mitochondrial",GPX4,21.07581,20.96261,21.71695,18.83553,19.97281,18.21438,21.5708,19.81176,18.63361
Heme oxygenase 2,HMOX2,21.33974,18.48731,19.39315,18.761,18.77143,21.59783,21.77149,21.66631,21.58555
GRIP1-associated protein 1,GRIPAP1,21.19111,21.23357,21.11927,21.46683,22.63341,21.27611,21.64992,21.51912,22.43921
Induced myeloid leukemia cell differentiation protein Mcl-1,MCL1,18.51884,18.41038,20.16042,19.44799,18.69391,18.7515,18.81249,18.27272,19.19047
Neural cell adhesion molecule 1,NCAM1,18.40536,18.82439,15.89368,19.30685,18.59653,16.38252,28.10719,27.1776,27.6983
WD repeat-containing protein 37,WDR37,18.4424,18.97379,20.06669,19.98775,19.2617,20.30318,22.28028,22.189,22.91073
Polyadenylate-binding protein;Polyadenylate-binding protein 1;Polyadenylate-binding protein 3,PABPC1;PABPC3,27.73253,27.72175,27.3901,27.07184,27.51878,27.19554,26.77643,26.8742,26.95016
Rho GTPase-activating protein 23,ARHGAP23,19.0022,19.67661,18.35186,18.25416,19.96999,18.67731,18.73814,18.80601,19.35339
Pyrroline-5-carboxylate reductase 2;Pyrroline-5-carboxylate reductase,PYCR2,23.65556,23.40497,21.74927,21.53749,22.56302,22.28932,21.98388,22.27648,22.50298
E3 ubiquitin-protein ligase UHRF1,UHRF1,19.70051,17.88723,21.06986,21.23105,18.16668,19.22069,19.28264,18.73235,19.88511
Zinc transporter SLC39A7,SLC39A7,17.9226,21.59742,20.86499,21.75185,19.33202,22.556,22.91885,22.44304,19.93848
MORF4 family-associated protein 1,MRFAP1,19.15904,21.87538,19.54443,19.45978,21.25839,19.89853,19.96187,19.27185,20.67271
UBX domain-containing protein 1,UBXN1,24.80946,25.614,25.74289,26.30777,26.22396,25.51446,24.37988,23.33688,24.38693
Caspase-3;Caspase-3 subunit p17;Caspase-3 subunit p12,CASP3,22.22744,21.90084,22.81415,17.99485,19.42079,21.91203,21.58229,21.41576,21.24708
Magnesium transporter protein 1,MAGT1,17.65667,19.0208,19.254,19.89334,17.89695,21.49414,18.23255,19.94485,18.11654
Vacuolar protein sorting-associated protein 45,VPS45,19.98217,20.16803,17.83843,20.73276,21.33101,18.17275,19.07397,20.7913,19.34649
EH domain-containing protein 4,EHD4,22.33388,22.45719,18.09536,22.08819,22.10076,21.44864,21.19556,18.23138,17.85199
Beta-catenin-like protein 1,CTNNBL1,22.02992,21.79138,21.9624,21.45984,20.55918,21.8916,21.7768,22.15669,21.02405
Signal peptidase complex subunit 2,SPCS2,22.93337,22.67644,23.13954,22.75949,20.74495,22.94633,22.80418,22.75062,21.02459
Oligosaccharyltransferase complex subunit OSTC,OSTC,21.84621,21.79202,23.16772,21.32948,19.19485,22.81829,22.18417,22.1364,20.64515
Fibroblast growth factor;Fibroblast growth factor 2,FGF2,22.00027,21.44486,20.80363,20.83051,19.43693,23.00381,19.4352,20.5122,20.97925
Heterogeneous nuclear ribonucleoprotein D-like,HNRNPDL,26.54086,26.52612,25.73867,26.85662,27.67013,26.57024,26.88914,26.76699,27.32432
Bifunctional ATP-dependent dihydroxyacetone kinase/FAD-AMP lyase (cyclizing);ATP-dependent dihydroxyacetone kinase;FAD-AMP lyase (cyclizing),TKFC;DAK,19.67576,19.54546,21.01808,19.24258,19.20635,19.37294,17.97388,19.42301,19.1249
Proteasome subunit beta type-3,PSMB3,24.76946,24.50136,24.62014,23.84871,23.68089,24.45808,23.9943,23.25983,24.63943
Retrotransposon-derived protein PEG10,PEG10,20.46456,19.13165,19.32958,19.25364,19.42916,17.91461,20.70504,17.97509,22.05282
Synaptojanin-2-binding protein,SYNJ2BP-COX16;SYNJ2BP,18.93629,17.61958,19.34052,19.46783,18.66777,20.64018,20.77684,20.68121,19.13619
"SRA stem-loop-interacting RNA-binding protein, mitochondrial",SLIRP,22.64564,23.00878,21.80577,21.73554,22.14933,22.19156,22.56307,22.46274,22.70263
Glutathione peroxidase;Glutathione peroxidase 1,GPX1,22.95509,21.56132,23.30327,22.80556,22.4678,23.047,23.50422,23.99066,24.47754
40S ribosomal protein S24,RPS24,26.47562,26.26394,25.76572,25.16565,25.31482,25.33112,25.09857,25.27412,25.33094
Myelin expression factor 2,MYEF2,22.38435,20.44559,19.88223,22.52943,22.63196,22.97423,24.76497,24.95677,25.5632
Eukaryotic translation initiation factor 5B,EIF5B,22.71837,22.65698,22.90397,22.18465,21.30134,22.25098,21.65722,21.81671,21.78381
"Spectrin beta chain, non-erythrocytic 1",SPTBN1,26.52228,26.48156,26.70041,26.83449,27.29185,26.72495,26.47136,26.05563,26.78793
"28S ribosomal protein S34, mitochondrial",MRPS34,21.76523,21.18489,21.60743,18.73588,19.06642,19.15671,21.86937,19.20833,21.05258
C-Myc-binding protein,MYCBP,21.55366,21.60698,20.52487,20.67254,21.26922,20.71247,19.21853,19.21926,19.3547
