logFC	AveExpr	t	P.Value	adj.P.Val	B
CEP170	2.61831826190476	-2.27393215384615	12.0747973283984	9.01845352900470e-09	1.7261320054515e-05	10.3656893758381
RRM1	-2.76399584285714	-0.106323453846154	-10.6726542518845	4.30636362991266e-08	4.12118999382641e-05	8.95261519818813
RBP1	3.39596287047619	1.60739937846154	10.26351878972	7.01075497998353e-08	4.47286167722949e-05	8.50334054745503
UHRF1	-3.16347464047619	-2.25980163846154	-8.63640925646178	5.72000706794827e-07	0.000273702338201325	6.52829273767904
RTN1	3.76711660904762	-2.65214542846154	8.17853309966337	1.08704245866289e-06	0.00038336455509864	5.91310271316476
INA	4.74393313404762	1.57077568538462	8.05844416440085	1.29166262061874e-06	0.00038336455509864	5.7471043161356
MRPL12	-1.45309411023809	-0.873863608461538	-7.94796635701976	1.51608100792682e-06	0.00038336455509864	5.59264829245139
NEFL	3.46073973333333	-2.06782359230769	7.7621257440117	1.99166180649773e-06	0.00038336455509864	5.32901557490208
PRPH	3.30237574857143	-1.98339467384615	7.70102736683809	2.18060702777633e-06	0.00038336455509864	5.24128625751097
NAP1L1	-1.81184826190476	2.45599523076923	-7.64580610964756	2.36770290717803e-06	0.00038336455509864	5.16154274301781
SRSF9	-1.53213404761905	2.00773007692308	-7.64205369990468	2.38101710051225e-06	0.00038336455509864	5.15610833581125
ALDH18A1	-2.26322103333333	0.439337353846154	-7.6357562597051	2.403539530399e-06	0.00038336455509864	5.14698361741364
MCM4	-3.67054024761905	-0.0314974153846154	-7.37551512148329	3.56228464012686e-06	0.00051084238334079	4.76495759039562
GLRX3	-1.59314925238095	-0.116354030769231	-7.34430702811113	3.73656915714266e-06	0.00051084238334079	4.71849168850066
ANP32E	-1.90323961190476	0.117990353846154	-7.1555779684965	5.00142932122534e-06	0.000638182381388353	4.43447876757307
X3.Sep	3.20568069238095	-0.579061409230769	7.04349510712946	5.96007866337524e-06	0.000705610104264496	4.26334506993945
GMPS	-1.53544771428571	2.02356296153846	-7.01055127263576	6.27731400223603e-06	0.000705610104264496	4.2126936035288
PCNA	-1.79386266095238	1.45155761846154	-6.97536873662338	6.63583170154698e-06	0.000705610104264496	4.15842341915445
HN1L	-1.85564020095238	-0.457816190769231	-6.84051648166285	8.22273891998525e-06	0.00078931319773601	3.94871414791841
RAVER1	-2.54867106904762	-2.88312256153846	-6.83861456807245	8.24778681019864e-06	0.00078931319773601	3.94573719891334
LZTFL1	-2.32094684761905	-2.15126447692308	-6.59969522104801	1.21328296975282e-05	0.00110582076386043	3.56748931847068
LSM6	-2.76952875666667	-2.12671095846154	-6.54380440682764	1.32941767233715e-05	0.00115659337493332	3.477775771917
CAT	-2.5622663	-0.570595353846154	-6.33744149077223	1.87005027340037e-05	0.00155620705360361	3.14248287829223
RPA1	-1.66602274585714	1.05123132915385	-6.29055619358454	2.02244788919001e-05	0.00161290219162903	3.06541659776727
HSD17B4	-1.42886628571428	2.30019946153846	-6.20575958937157	2.3321063705972e-05	0.00178546063732922	2.92520011819292
FUBP3	-2.38307736642857	-0.94867171	-6.15480124543345	2.54177787424908e-05	0.0018619871395775	2.84042081861277
MCM6	-2.12048947309524	1.67606114269231	-6.13542075190476	2.62662762636325e-05	0.0018619871395775	2.80807588163335
TUBB3	2.13592533333333	5.43688230769231	6.08532996168594	2.85997361244997e-05	0.00192305996153313	2.72421806577288
TAGLN3	4.00623592142857	0.0175433076923077	6.07439834724183	2.91372721444413e-05	0.00192305996153313	2.70586764081258
PRKCSH	-1.82660523809524	0.7548655	-5.97849229055961	3.4332538278354e-05	0.00203114248402186	2.54411367881598
STXBP1	3.9285943952381	-2.13001368461538	5.97742940587889	3.43952704795094e-05	0.00203114248402186	2.54231339267483
RFC2	-2.56252810023809	-1.96079715153846	-5.95808527655735	3.55581861728498e-05	0.00203114248402186	2.50951961973014
SCP2	-1.19517243142857	0.559917613846154	-5.95013067168008	3.60482720101371e-05	0.00203114248402186	2.49601826241411
P4HA1	-2.35542115714286	0.8551043	-5.94960509543348	3.60809009700852e-05	0.00203114248402186	2.49512587215496
ELAVL4	4.13424839285714	-0.3295201	5.83908672390461	4.36788122552734e-05	0.00238860704733124	2.30656935831935
PRDX4	-1.49357134190476	1.83603411076923	-5.8179471668953	4.53136740241543e-05	0.0024091770022842	2.27029848236408
NOLC1	-1.97742676904762	-2.14004177692308	-5.76504389246126	4.96917412772953e-05	0.00257054034607414	2.17924159541917
CRMP1	2.419719	3.95379261538462	5.73057587577339	5.278026927115e-05	0.00265845882592055	2.11969591337502
SDCBP	-2.22754425	-2.10829165384615	-5.70049315566843	5.56397865601877e-05	0.00269595962360596	2.06758510771394
EML4	1.64804575714286	0.185203753846154	5.69335378270346	5.63418939102604e-05	0.00269595962360596	2.0551986760904
RBBP7	-1.61191642285714	-0.0900136969230769	-5.660816014176	5.96609585174442e-05	0.00278514816103386	1.99865409559378
S100A11	2.15329944047619	0.00173084615384616	5.64018862998768	6.18703112436397e-05	0.00281951846953158	1.96272847780356
AK1	1.23920525261905	1.07820382846154	5.61540867499801	6.46378854883904e-05	0.00287713750755301	1.91948966739222
RFC4	-3.40188038738095	-2.28102764538462	-5.58447753518526	6.82748879948075e-05	0.00292548733347526	1.86539410294815
SERPINB9	1.09123219047619	-3.15351876923077	5.57661534059538	6.92329778694507e-05	0.00292548733347526	1.85162208891731
NES	-1.90163414285714	4.17390415384615	-5.56428182623965	7.07643124418983e-05	0.00292548733347526	1.83000001125771
TPBG	-2.38381066690476	-0.646840720769231	-5.55579932410472	7.18379857227468e-05	0.00292548733347526	1.81511662842992
