logFC	AveExpr	t	P.Value	adj.P.Val	B
LGALS3	3.52038545	-3.20741118571429	8.9405766911536	2.17430846815893e-05	0.0416162640805619	3.07614431301461
ANXA6	3.5911712	-3.69184328571429	7.69899952971396	6.31733246415825e-05	0.0461766468279911	2.196900569767
FTH1	2.3240754	-2.60936125714286	7.5512280794121	7.2377189385566e-05	0.0461766468279911	2.08072401017035
VPS45	-2.6659634	-3.12939742857143	-6.82209311453991	0.000146180689419662	0.0570313581698695	1.46716614141033
RPL37A	-3.21033392	-1.79463184285714	-6.80315560642546	0.000148984739210735	0.0570313581698695	1.45029357188661
ATP6V1B2	-2.340073956	-0.829441102857143	-6.33220026734137	0.000242093877946973	0.0697249935124069	1.01445232290891
SERPINB6	3.68936393	-2.57390622	6.20161201406999	0.000278247131949605	0.0697249935124069	0.887902107499859
FDFT1	-2.7747227	0.601626785714286	-6.15859766538766	0.000291431529832422	0.0697249935124069	0.845659586374516
LMAN1	-3.29487856	-2.28614531428571	-5.93936693564738	0.000370292586988774	0.0787488901662792	0.625988956659307
GFAP	6.081317322	-0.427175087142857	5.70024189726977	0.000484167545622907	0.0926696682322243	0.377868421141248
SELENBP1	3.72392582	-3.12163639428571	5.53889507470037	0.000582633767475844	0.101378275540797	0.205308903565998
YLPM1	-2.554310524	-0.337628482857143	-4.99069301107325	0.00112213959426336	0.168524675261	-0.412919674734201
HSDL2	2.34928597	-1.11260095714286	4.88056244105964	0.00128659750753608	0.168524675261	-0.543190567278919
XPOT	2.1166173	-2.981012	4.8602970553747	0.00131963787470639	0.168524675261	-0.567385871841428
LMNA.1	2.94442282	-1.98231893714286	4.85245709939479	0.00133266764906299	0.168524675261	-0.576764862707289
NUP54	-2.8515507	-3.63429557142857	-4.80827439521523	0.0014087747148255	0.168524675261	-0.629815972425242
ACTN1	2.270377444	0.674461825714286	4.72567667780242	0.00156409242500748	0.176098405968489	-0.729881989331958
HDHD2	-2.3274931	-2.62408642857143	-4.6600838235841	0.00170074845135261	0.180846251993827	-0.810172486800748
PLEC	2.086799368	0.670979522857143	4.57713767433741	0.00189249187360905	0.188360992838615	-0.912750598394828
HACD3	-2.335898438	-0.779069615714286	-4.54685921711673	0.00196824443927497	0.188360992838615	-0.950486117231353
MAPRE2	-1.84882682	-0.759424414285714	-4.45185491579634	0.00222813869549838	0.200875480719592	-1.06989493048899
NUP188	-1.6640127	-3.431076	-4.42476406112607	0.00230891357148956	0.200875480719592	-1.10422384735653
DTD1	-1.523465846	-0.69252811	-4.35063941951551	0.00254662307554826	0.211923328982581	-1.19878311606385
LMNA	3.16605338	1.6127618	4.28536687742921	0.00277799944608212	0.212815477671359	-1.28281071797685
ALDH9A1	2.11413222	-1.07607104285714	4.26813172965453	0.00284282666599017	0.212815477671359	-1.30511641973799
COX7A2	3.97833194	-1.85111817142857	4.2556206669863	0.00289091035499234	0.212815477671359	-1.32133906978388
TJP1	3.0402265	-3.86730185714286	4.18161807967237	0.00319393902012683	0.22230413315153	-1.41782406117887
DR1	-1.6996941	-2.28574828571429	-4.16828558855677	0.00325209808163158	0.22230413315153	-1.43530272160156
PDS5B	-1.74991762	-0.550925342857143	-4.14151537818074	0.0033723604275474	0.222575788218128	-1.47048572194784
RRBP1	3.1586109	-2.19694814285714	4.09095950645718	0.00361278267479384	0.230495534651847	-1.53724713538964
HSPB1	2.60151104	2.17553082857143	4.01053258032212	0.00403420277898742	0.249079487709094	-1.64430319580205
MAN2B1	2.280204	-3.34773314285714	3.88660325792552	0.00479066828057937	0.286541846532153	-1.81126842323022
NADK2	2.1492309535	-2.10104021328571	3.74908886520811	0.00581227157032398	0.337111751078791	-1.99929546700436
ASAH1	1.3459828	-1.32227228571429	3.66601939769219	0.00654070416836309	0.362423961313382	-2.11423218280238
ANXA1	2.7743441	-4.00354985714286	3.64710489188092	0.00671984339943399	0.362423961313382	-2.1405407261512
NIPSNAP1	-1.5543212	1.89217522857143	-3.6370959889833	0.0068167516234492	0.362423961313382	-2.1544826652569
ZYX	3.4547361	-2.86729894285714	3.57782522749315	0.00742205859796486	0.383941085310939	-2.23732885073777
YWHAG	-1.1552266	3.71469985714286	-3.54910282686703	0.00773577731753824	0.389638889099163	-2.27764812245089
ATP1A1	-2.7696337	-2.75355471428571	-3.44151565471588	0.00904231785824074	0.404658403869587	-2.42963715000106
X3.Sep	-1.5080713	0.900483525714286	-3.41987148064129	0.00933243928939502	0.404658403869587	-2.46039146394451
CBS	2.0640054	-3.64696257142857	3.40125015211367	0.0095899480660941	0.404658403869587	-2.48689652504044
GCN1L1	-1.5681299	-3.66460271428571	-3.39857634866959	0.0096275376001291	0.404658403869587	-2.49070578873059
CRABP1	-1.6396243	6.86936271428571	-3.39582098729034	0.00966643719480954	0.404658403869587	-2.4946321452831
TLN1	1.521040622	0.328090912857143	3.386210244795	0.00980342891367753	0.404658403869587	-2.50833446183322
GOT1	-1.127271524	0.117077195714286	-3.36623902541133	0.0100947218087838	0.404658403869587	-2.53684312057575
VRK1	3.38398232	-2.46469130857143	3.36098360414076	0.0101728896332118	0.404658403869587	-2.54435296900373
FLNC	1.6870666	2.00639542857143	3.36034033360963	0.0101825014189597	0.404658403869587	-2.54527240607459
X6.Sep	-1.73566591	0.0140661142857143	-3.34942100533688	0.0103471339702808	0.404658403869587	-2.56088692003532
QKI	2.25901839	-1.01346851428571	3.33528890995262	0.0105644002950018	0.404658403869587	-2.58111608004409
IK	4.853212	-2.028483	3.3284178784995	0.0106717745207395	0.404658403869587	-2.59095975395245
CRTAP	1.9452014	-3.57204757142857	3.30886999780574	0.0109836118603142	0.404658403869587	-2.61899385810604
DBNL	-1.157343934	-0.621407261428571	-3.30018428347842	0.0111252484702292	0.404658403869587	-2.63146394339617
NEFM	-1.68407717	0.977317814285714	-3.29532828861789	0.0112052745063156	0.404658403869587	-2.63843932853631
NFIB	2.5312412	-2.77034642857143	3.26848866922297	0.0116586934654071	0.413235912829431	-2.67703938367282
GPX8	1.1929752	-3.17814614285714	3.24518322544108	0.0120681223317846	0.414920891832176	-2.71061911602914
VARS	-2.00263524	-1.77936225714286	-3.23784011557345	0.0122002465401027	0.414920891832176	-2.72121123783699
MCM5	2.05599494	-1.68782291428571	3.22925915857005	0.0123565782834033	0.414920891832176	-2.73359594557627
QPRT	1.0656474	-3.22591971428571	3.20664042109269	0.0127788590719906	0.415802664203862	-2.76627691147842
CCAR1	-1.97525918	-1.65635808571429	-3.20461939474637	0.0128173235047167	0.415802664203862	-2.76919951193271
TMA16	-1.7462753	-2.767134	-3.17118601037634	0.013471628815872	0.420840897271491	-2.81760540399622
KIF5C	-1.44571006	0.653024662857143	-3.1650001186842	0.0135964942524478	0.420840897271491	-2.82657330002248
DRG1	2.6754157	-2.62145911428571	3.16253087675761	0.013646676518246	0.420840897271491	-2.83015405049966
CPSF2	-1.883038	-3.21984485714286	-3.15085831627351	0.0138865469958081	0.420840897271491	-2.84708862173
ARHGAP1	1.59333339	-1.04032028857143	3.13422136825794	0.0142361213652767	0.420840897271491	-2.87124720108074
AHNAK	3.46218302	-0.393302871428571	3.12951725081866	0.014336631415839	0.420840897271491	-2.87808261327348
DYNLRB1	-1.18246729	0.882958542857143	-3.1130384452677	0.0146946406764842	0.420840897271491	-2.90204297437406
ASPH	1.8577697	-3.10598485714286	3.10191505718129	0.0149415959562894	0.420840897271491	-2.9182299080767
FHL1	1.375630612	0.239350755714286	3.09763041747167	0.0150378791963054	0.420840897271491	-2.92446781884328
ANXA6.1	1.5857675	3.98107642857143	3.091736929035	0.0151713803091603	0.420840897271491	-2.93305056131819
MCM7	1.84610464	1.10057132857143	3.05473597061286	0.0160384194488161	0.438536211786201	-2.98700095058009
DYNC1H1	-1.1771736	5.39974428571429	-3.0417076942386	0.016355930797873	0.440919035875056	-3.0060232615844
TWF2	1.06666304	-0.401308671428571	3.02778439786389	0.0167025344520953	0.443128284070588	-3.02636676208385
GLB1	1.6038596	-3.300432	3.01032039503229	0.0171481688782566	0.443128284070588	-3.05190403190373
ACAT1	1.21911136	-0.336016228571429	2.99672794586571	0.0175036011291664	0.443128284070588	-3.07179522214636
LSS	-1.43852931	-0.448733564285714	-2.99338005880428	0.0175923211748546	0.443128284070588	-3.07669651333187
