logFC	AveExpr	t	P.Value	adj.P.Val	B
RPS10.NUDT3	1.60695533333333	-1.92691033333333	7.39785073150976	0.00026032634423815	0.152575949593887	0.90049965844273
DCLK1	2.0583132	-1.7129424	6.96615025935192	0.000365581672396992	0.152575949593887	0.630436327006784
ELAVL4	3.1426543	-2.55565385	6.74997339194405	0.000436125337002007	0.152575949593887	0.486865015177896
FDXR	1.636	-2.608333	6.72731847097322	0.00044437942118615	0.152575949593887	0.471482499284154
HUWE1	1.77913957333333	-0.86087688	6.64936354050258	0.000474174952279206	0.152575949593887	0.418053718481652
CSDE1	1.5985764	-0.388680566666667	6.5408878392634	0.000519508220400034	0.152575949593887	0.342404972915145
ABAT	1.57971336666667	1.68652031666667	6.16832331950385	0.000717428663002843	0.152575949593887	0.070628217124983
INA	1.91791630333333	-0.983649848333333	6.14502418286479	0.000732416287385571	0.152575949593887	0.0529967774003621
MAPRE2	1.903901	-2.64021916666667	5.99384091586948	0.000838787789743132	0.152575949593887	-0.0632893026185251
TPBG	-1.78314172333333	0.636749638333333	-5.96153325282465	0.000863736092816011	0.152575949593887	-0.0885671607882816
PDLIM3	2.2962263	-1.98542718333333	5.94494436502809	0.000876873273528086	0.152575949593887	-0.101605707717971
SUN2	2.31072406666667	-2.68853063333333	5.5256904062756	0.00129788339274596	0.188027522559204	-0.444845048223847
IRGQ	2.65611276666667	-2.40343495	5.33097242638395	0.00156844896251422	0.188027522559204	-0.613555503683064
TTLL12	2.26411646666667	-1.8039131	5.2725273267638	0.00166172248875852	0.188027522559204	-0.665386909822437
PPME1	1.28021366666667	-1.9392595	5.24269853513799	0.00171173337007356	0.188027522559204	-0.692055513507656
LZIC	-1.2520311	-0.830985783333333	-5.17121672302508	0.00183865261446872	0.188027522559204	-0.756560884053308
ADD2	1.59773466666667	-2.61689266666667	5.11687840045502	0.00194225941590786	0.188027522559204	-0.806163361069967
CRMP1	1.50257066666667	2.650867	5.09910676979792	0.00197756277391354	0.188027522559204	-0.822493177615403
DPYSL3	1.18253466666667	2.89140733333333	5.08059907963946	0.00201510017272835	0.188027522559204	-0.839555665765532
PDXK	1.44427266666667	-1.212532	5.07455481606424	0.00202753284321309	0.188027522559204	-0.845140426418388
ATAT1	1.68211166666667	-2.8568015	5.05754030054185	0.0020629978964176	0.188027522559204	-0.860894484002727
FKBP7	-1.328803	-2.83688783333333	-4.90761729274918	0.00240761549061391	0.20946254768341	-1.00183413300479
HSPA4L	2.5824988	-1.22930226666667	4.78002514009341	0.00275253196811014	0.229058529867948	-1.12482087504291
CKB	1.01009366666667	5.96699816666667	4.73482264154943	0.00288780044165979	0.230302085222368	-1.16907057553484
RBFOX1	-1.00629203333333	-1.74228765	-4.615859524354	0.00328093294069888	0.248111286767082	-1.28724011333232
TRIM2	1.72577986	-1.30287873666667	4.59102750206608	0.00337037275650164	0.248111286767082	-1.31222167790162
CLIP2	-1.15700366666667	-4.0889425	-4.48431994919604	0.00378712673349946	0.254631429600402	-1.42081932725855
KLC1	1.48069694	0.0993032633333333	4.46704668463661	0.00385987459909228	0.254631429600402	-1.43858956591994
DHCR24	1.36218386666667	-1.55624306666667	4.39432278690428	0.00418380136204065	0.254631429600402	-1.51399203285895
CRABP2	-0.992536666666667	2.29719766666667	-4.38533117273111	0.0042259231314597	0.254631429600402	-1.5233807554957
MAP1B	1.25450633333333	4.87201783333333	4.36397973785937	0.00432785851426408	0.254631429600402	-1.54573339392096
FKBP10	-1.39975943333333	1.33291195	-4.34610757709987	0.00441529941924909	0.254631429600402	-1.56450666295139
FARSA	0.853688466666667	-0.6923201	4.31357514480479	0.00457958168890836	0.254631429600402	-1.59882700532009
GUK1	1.22511033333333	-2.5465095	4.30242130900515	0.00463746953786049	0.254631429600402	-1.61063773464149
SERPINB6	-1.912036	-2.59234033333333	-4.29883232851134	0.00465626961129263	0.254631429600402	-1.61444285429815
HMGCS1	1.023808	2.391313	4.16253836761254	0.00543726904298662	0.273361596949765	-1.76066559819585
