1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48
KIAA1598	23.13664818	22.61829376	21.80001831	20.40832138	21.73417473	22.57212067	22.46841812	22.03754807	21.4514122	21.36478043	21.71787262	23.23660469	22.96391678	22.97592735	21.95137787	21.70096016	22.03123474	21.83047295	21.65342331	23.3858757	22.32915306	22.81612778	22.09287643	21.89171028	22.47439575	22.29314041	22.15044212	21.19898415	22.45512962	22.18716049	21.7280426	22.09226227	22.30251312	22.1112709	21.91976166	20.37140846	19.43218613	21.82609558	20.14587975	20.23392487	20.33955574	21.32602692	20.32828331	20.02495956	21.71078682	19.88894272	20.39411163	20.52852631
DPPA5	26.4997673	25.4428463	24.34021187	19.89056587	24.1722641	25.86247063	24.8802166	20.24564743	19.70605469	22.53973961	24.46600342	24.93035126	24.65496254	23.90628052	24.93723869	24.0290947	25.4287014	20.77767563	20.32683945	24.17531395	25.27700043	24.84555817	24.19407654	23.50470161	25.7506485	26.70648766	25.37937927	24.82395935	19.11265945	26.24303627	17.93120003	25.25860977	25.57686615	25.64132881	24.85709381	24.32971382	20.96540833	25.56500053	27.5243988	23.6502037	24.39669418	24.53730011	20.05021667	24.10605431	19.58595467	23.97561264	24.61532021	24.91816139
MAP1LC3B	23.33142281	22.16674423	20.82839584	23.71554947	23.81245041	22.74127197	23.41879845	21.81538391	22.44255638	20.28548622	23.43122292	19.86108017	23.799366	23.10570335	23.5025177	24.53261185	25.26298714	23.28602028	21.54168701	19.81705093	22.38968849	21.92596817	22.00788879	23.45161438	22.21661568	23.38890076	23.26384735	20.06540298	23.02865601	19.84167099	19.43110085	23.18755341	24.18774986	22.92743301	20.89858055	21.32954216	24.24067116	19.87528038	24.29452896	20.0964222	23.83778572	24.39309692	23.43987083	19.78699303	22.41738129	20.62602806	23.12338448	24.1040554
FAM171A2	20.13455963	19.50845146	20.72408295	20.04276657	19.36352158	21.23034477	19.65792084	21.11483192	20.39518738	21.25164795	21.00600624	22.13210487	20.62880898	20.14835739	20.70649338	19.95444679	20.83715057	20.89940071	19.99661255	21.29210091	20.17230988	20.80417633	19.39237595	20.9139328	21.20066071	21.18942451	21.01971054	20.92165184	20.50988007	20.1785965	19.93072891	20.98759651	21.72029686	20.95496559	20.31788826	19.72630882	21.12300491	21.46582985	22.24536514	19.94856644	21.09113312	20.44494247	20.65709305	20.6687355	19.60565186	20.83418846	21.32707024	21.87912178
EIF3C	20.27435112	21.24260712	21.10884857	20.8287735	21.14724731	21.34348297	21.31617165	21.29591751	21.44773483	21.14979172	21.16833687	20.82275391	20.31959343	20.20287514	21.36163902	19.92969131	19.05290985	20.91990852	21.15937042	21.37241364	21.18507385	20.97819901	21.57653236	20.73214722	21.32843971	20.59623337	22.01672173	21.7069149	21.18234825	21.34505463	21.50678444	21.60602951	21.38542938	20.64929199	19.49668884	20.15050507	20.9655056	20.53289413	19.39266014	20.39927864	20.22445107	20.95618439	20.39157677	21.02404594	20.12515068	21.09828377	19.75964355	20.63562012
FAM195B	21.51103783	21.71166801	20.22940826	21.12675667	20.20773697	21.05953407	19.64542198	19.06421471	21.63878441	20.5387764	19.32161713	20.94292068	19.15741158	19.30608749	20.27614403	19.51713753	20.85536385	22.02907753	21.67684937	21.53981018	19.81687164	19.66751671	21.87102127	21.42177963	20.22700882	20.26480293	21.56085587	21.06045532	21.08401108	21.32442474	21.3649559	20.3685627	20.49733734	22.01991463	19.19109344	21.57984924	21.54316521	22.22779083	22.28073502	21.65778923	21.56592941	20.21780777	21.59071732	21.42372894	21.6150856	20.3784256	19.66240883	18.93408012
NACA	24.32340431	24.83460617	24.65589142	23.66654968	23.20395088	23.7552166	23.36892891	24.33169746	24.71785164	23.16914749	23.83074379	23.51797295	24.29963875	24.53842545	23.0862484	23.79114151	23.94913483	23.69752693	23.9102211	24.39682388	24.10525513	24.11187553	24.46992111	23.6557827	23.69742203	22.89840508	23.8850193	23.43326187	24.3558197	24.8233757	24.75271797	23.80064964	23.49935722	25.01431465	23.93759727	24.78071785	24.21674919	24.0280838	23.91579247	23.65937996	23.75745583	24.66084862	24.32950783	24.13570976	24.88646317	25.24481392	23.54722023	25.1223011
KIF2A	23.07960701	22.92900467	23.14907837	23.85290909	23.16610146	23.86315727	23.66448975	23.77062035	23.61166763	23.45211601	23.58382607	23.77132607	24.03934097	24.08836937	23.75796509	23.52910042	23.15763092	23.72307014	23.27241516	24.22383499	23.7055645	23.77414513	23.59650612	23.67572975	24.05680656	24.08131599	23.76658249	23.75735474	23.30716324	23.12529373	23.4913044	24.26434898	24.26670837	23.45838928	19.75363159	22.64002037	23.72712708	23.19275284	23.75867653	22.97473717	23.90260696	22.41676331	22.93077469	22.47352982	23.31132889	23.59457207	23.49679947	24.002388
ACOT7	23.41841125	22.6975708	22.93425369	23.71512985	23.68045998	23.92188835	23.57784653	23.59923363	23.23479462	24.12052345	23.93732834	24.49002075	22.78328705	21.4860096	23.76577377	23.11165237	23.63089752	24.10757256	23.92940331	24.06833458	23.47357941	22.48929787	24.26356125	24.64751625	24.73148537	25.17123413	24.07381821	24.81577492	23.71994019	23.91003799	22.36562347	24.36352539	24.76288795	23.20662117	22.98993683	22.15983391	22.93917656	23.7635479	24.70777702	20.84651184	23.62566948	20.27513695	22.77796173	23.22771835	23.29949951	23.12166214	23.98233223	24.56714821
PGRMC1	24.42406273	24.48037529	24.84575081	24.8190937	24.59474182	24.03515053	24.48382187	25.27454948	24.86263657	24.44316292	25.36409378	24.28340912	24.50736427	24.72452736	25.24575806	25.08521271	24.70202827	24.95508957	24.35333061	23.7506237	24.03313446	24.32244301	24.72197533	24.43205261	24.99688148	25.23523903	24.76501465	24.64817619	23.99014473	24.16376877	25.05183792	25.15711403	25.29722595	23.77062035	23.63333893	24.92084312	20.48800468	25.11227417	25.51234627	25.02132034	24.26627922	23.70524788	25.63292313	25.06081009	24.7701683	25.62603188	24.87197113	25.11386299
