1 DSVZ	2 LGE	3 MGE	6 CX	7 DSVZ	8 LGE	9 MGE	11 STRIA	13 CX	14 LGE	16 STRIA	20 CX	21 DSVZ	22 LGE	23 MGE	25 STRIA	29 CX	30 DSVZ	31 MGE	32 STRIA	34 CX	35 DSVZ	36 MGE	38 STRIA	42 DSVZ	45 LGE	46 MGE
KIAA1598	23.13664818	22.61829376	21.80001831	22.57212067	22.46841812	22.03754807	21.4514122	21.71787262	22.96391678	22.97592735	21.70096016	23.3858757	22.32915306	22.81612778	22.09287643	22.47439575	22.45512962	22.18716049	21.7280426	22.09226227	22.1112709	21.91976166	20.37140846	21.82609558	21.32602692	21.71078682	19.88894272
DPPA5	26.4997673	25.4428463	24.34021187	25.86247063	24.8802166	20.24564743	19.70605469	24.46600342	24.65496254	23.90628052	24.0290947	24.17531395	25.27700043	24.84555817	24.19407654	25.7506485	19.11265945	26.24303627	17.93120003	25.25860977	25.64132881	24.85709381	24.32971382	25.56500053	24.53730011	19.58595467	23.97561264
MAP1LC3B	23.33142281	22.16674423	20.82839584	22.74127197	23.41879845	21.81538391	22.44255638	23.43122292	23.799366	23.10570335	24.53261185	19.81705093	22.38968849	21.92596817	22.00788879	22.21661568	23.02865601	19.84167099	19.43110085	23.18755341	22.92743301	20.89858055	21.32954216	19.87528038	24.39309692	22.41738129	20.62602806
FAM171A2	20.13455963	19.50845146	20.72408295	21.23034477	19.65792084	21.11483192	20.39518738	21.00600624	20.62880898	20.14835739	19.95444679	21.29210091	20.17230988	20.80417633	19.39237595	21.20066071	20.50988007	20.1785965	19.93072891	20.98759651	20.95496559	20.31788826	19.72630882	21.46582985	20.44494247	19.60565186	20.83418846
EIF3C	20.27435112	21.24260712	21.10884857	21.34348297	21.31617165	21.29591751	21.44773483	21.16833687	20.31959343	20.20287514	19.92969131	21.37241364	21.18507385	20.97819901	21.57653236	21.32843971	21.18234825	21.34505463	21.50678444	21.60602951	20.64929199	19.49668884	20.15050507	20.53289413	20.95618439	20.12515068	21.09828377
FAM195B	21.51103783	21.71166801	20.22940826	21.05953407	19.64542198	19.06421471	21.63878441	19.32161713	19.15741158	19.30608749	19.51713753	21.53981018	19.81687164	19.66751671	21.87102127	20.22700882	21.08401108	21.32442474	21.3649559	20.3685627	22.01991463	19.19109344	21.57984924	22.22779083	20.21780777	21.6150856	20.3784256
NACA	24.32340431	24.83460617	24.65589142	23.7552166	23.36892891	24.33169746	24.71785164	23.83074379	24.29963875	24.53842545	23.79114151	24.39682388	24.10525513	24.11187553	24.46992111	23.69742203	24.3558197	24.8233757	24.75271797	23.80064964	25.01431465	23.93759727	24.78071785	24.0280838	24.66084862	24.88646317	25.24481392
KIF2A	23.07960701	22.92900467	23.14907837	23.86315727	23.66448975	23.77062035	23.61166763	23.58382607	24.03934097	24.08836937	23.52910042	24.22383499	23.7055645	23.77414513	23.59650612	24.05680656	23.30716324	23.12529373	23.4913044	24.26434898	23.45838928	19.75363159	22.64002037	23.19275284	22.41676331	23.31132889	23.59457207
ACOT7	23.41841125	22.6975708	22.93425369	23.92188835	23.57784653	23.59923363	23.23479462	23.93732834	22.78328705	21.4860096	23.11165237	24.06833458	23.47357941	22.48929787	24.26356125	24.73148537	23.71994019	23.91003799	22.36562347	24.36352539	23.20662117	22.98993683	22.15983391	23.7635479	20.27513695	23.29949951	23.12166214
PGRMC1	24.42406273	24.48037529	24.84575081	24.03515053	24.48382187	25.27454948	24.86263657	25.36409378	24.50736427	24.72452736	25.08521271	23.7506237	24.03313446	24.32244301	24.72197533	24.99688148	23.99014473	24.16376877	25.05183792	25.15711403	23.77062035	23.63333893	24.92084312	25.11227417	23.70524788	24.7701683	25.62603188
