DCX_YFP(+)_tp2_s.1	DCX_YFP(+)_tp2_s.2	DCX_YFP(+)_tp3_s.1	DCX_YFP(+)_tp3_s.3	DCX_YFP(+)_tp1_s.1	DCX_YFP(+)_tp1_s.2	DCX_YFP(+)_tp1_s.3	SOX2_YFP(+)_tp1_s.1	SOX2_YFP(+)_tp1_s.2	SOX2_YFP(+)_tp1_s.3	SOX2_YFP(+)_tp2_s.1	SOX2_YFP(+)_tp2_s.2	SOX2_YFP(+)_tp2_s.3
SERPINB6	-4.675511	-4.060156	-0.05344344	0.1761509	-2.550949	-2.975398	-3.878037	-1.112655	-2.600082	-1.19623	-3.273755	-3.632702	-3.738618
HDGFRP3	-5.164225	-2.563833	-1.023933	-1.771259	-0.2613297	-0.2249093	-1.691155	-2.191212	-0.6284127	-0.6546592	-0.5648412	-0.8020746	-1.37001
HDLBP	-2.587393	-0.6886772	-1.313633	0.6209449	-1.164639	-0.7211881	-0.6012121	0.3102313	-0.5831285	-1.110498	0.277903	-0.5657886	-0.8308033
RPS9	1.241829	1.586467	0.7580494	1.369175	0.9024719	0.8670579	1.229198	0.4336252	1.512297	0.423793	0.8518137	0.4972382	0.7799079
EHD1	-0.7290922	-0.1084566	-2.271135	-1.520597	-1.337746	-1.773999	-0.9116723	-2.106544	-1.84968	-3.765081	-1.433868	-1.458279	-1.707632
PSMA2	1.373106	0.9614264	1.603036	1.25328	1.828437	0.87477	1.262107	1.985593	1.790767	1.528001	1.477403	1.818184	1.978221
DIABLO	-1.283542	-0.7904431	-0.7114234	-1.095765	-1.733888	-0.6896801	-1.453069	0.2201922	0.0718309	-0.3169879	-1.21722	-0.3302487	-0.3186911
BAT3	-4.885798	-1.877012	-1.359266	-1.427308	-3.636971	-1.27365	-1.788826	-1.511871	-3.350984	-1.718752	-1.224339	-2.88393	-2.388884
DMD	-5.315872	-1.551299	-1.567952	2.354407	2.259861	-0.560909	-2.281687	1.901716	-1.564878	-0.6029691	-1.888114	-1.728076	2.169056
TAF15	-0.4024012	-0.2415331	0.6743801	0.2670991	0.605068	0.7830403	-0.9089092	-1.374061	1.291336	1.058415	1.108886	1.074969	1.10048
NUCB2	-3.755051	-2.934308	-2.810953	-2.828363	-3.529819	-2.855425	-2.844119	-2.220229	-0.9944361	-2.460767	-3.057055	-1.754019	-0.6735198
TXNRD1	0.05349409	0.2112738	0.8263904	-0.1665927	0.7105696	0.3945376	0.5288593	0.4186784	0.5953013	0.3697494	0.6393906	0.797627	0.4780316
GPX4	0.252068	0.3923407	-0.3611735	0.2642233	-0.08089566	0.004826382	-0.1459363	0.4794766	0.3343672	-0.2291702	0.3783453	0.4135686	0.3954579
SLC1A3	-4.415944	-1.651268	-3.915585	-1.275841	-3.129412	-3.496372	-4.339398	-1.702182	-2.405128	-3.496454	-1.518786	-4.121314	-1.705335
NCAM1	4.654008	4.721798	2.604422	2.115316	2.356881	1.79462	1.722497	-1.95072	-3.003088	0.04839523	1.006538	1.019071	0.1599975
