DCX_YFP(-)_tp1_s.1	DCX_YFP(-)_tp1_s.2	DCX_YFP(-)_tp1_s.3	DCX_YFP(-)_tp2_s.1	DCX_YFP(-)_tp2_s.2	DCX_YFP(-)_tp2_s.3	DCX_YFP(-)_tp3_s.1	DCX_YFP(-)_tp3_s.2	DCX_YFP(-)_tp3_s.3	DCX_YFP(+)_tp2_s.1	DCX_YFP(+)_tp2_s.2	DCX_YFP(+)_tp3_s.1	DCX_YFP(+)_tp3_s.3	DCX_YFP(+)_tp1_s.1	DCX_YFP(+)_tp1_s.2	DCX_YFP(+)_tp1_s.3	SOX2_YFP(-)_tp1_s.1	SOX2_YFP(-)_tp1_s.2	SOX2_YFP(-)_tp1_s.3	SOX2_YFP(-)_tp2_s.1	SOX2_YFP(-)_tp2_s.2	SOX2_YFP(-)_tp2_s.3	SOX2_YFP(-)_tp3_s.1	SOX2_YFP(-)_tp3_s.2	SOX2_YFP(-)_tp3_s.3	SOX2_YFP(+)_tp1_s.1	SOX2_YFP(+)_tp1_s.2	SOX2_YFP(+)_tp1_s.3	SOX2_YFP(+)_tp2_s.1	SOX2_YFP(+)_tp2_s.2	SOX2_YFP(+)_tp2_s.3
SERPINB6	-3.156291	-2.380137	-2.86069	-0.6261537	-3.371004	-3.406858	0.3867638	-0.2962058	0.2729798	-4.675511	-4.060156	-0.05344344	0.1761509	-2.550949	-2.975398	-3.878037	0.4740334	-0.5916902	0.3189403	-0.124758	-0.1457154	0.2413319	1.519699	0.3274566	0.9817451	-1.112655	-2.600082	-1.19623	-3.273755	-3.632702	-3.738618
HDGFRP3	-0.7711855	-1.126736	-0.6502362	-2.003389	-1.631397	-2.766384	-1.929631	-1.807244	-1.76192	-5.164225	-2.563833	-1.023933	-1.771259	-0.2613297	-0.2249093	-1.691155	-2.956844	-1.295426	-2.564945	-0.6705668	-4.535429	-0.9883656	-3.002495	-4.478171	-3.431718	-2.191212	-0.6284127	-0.6546592	-0.5648412	-0.8020746	-1.37001
HDLBP	0.435388	0.4344253	0.3340918	-0.4493235	-0.7173868	-1.94466	0.7343515	1.654679	1.518921	-2.587393	-0.6886772	-1.313633	0.6209449	-1.164639	-0.7211881	-0.6012121	0.8531976	0.7253938	0.03490508	0.7024007	0.2872593	0.8903784	0.5681567	-0.5676953	-1.715442	0.3102313	-0.5831285	-1.110498	0.277903	-0.5657886	-0.8308033
RPS9	1.516113	1.577103	1.131311	0.4176892	0.3422422	0.474195	1.638078	1.997472	1.205156	1.241829	1.586467	0.7580494	1.369175	0.9024719	0.8670579	1.229198	1.473617	1.258175	0.9321737	1.867876	1.601239	0.7993607	1.93889	0.2086655	2.573812	0.4336252	1.512297	0.423793	0.8518137	0.4972382	0.7799079
EHD1	-1.449849	-1.950463	-1.016121	-2.129735	-2.48035	-3.977104	-1.370159	-1.530978	-1.291404	-0.7290922	-0.1084566	-2.271135	-1.520597	-1.337746	-1.773999	-0.9116723	-1.977683	-1.330027	-2.066016	-1.987118	-2.257061	-1.651447	-0.2945908	-1.666178	-0.8186415	-2.106544	-1.84968	-3.765081	-1.433868	-1.458279	-1.707632
PSMA2	2.105549	1.387007	1.755161	1.040027	1.021062	0.135594	1.597433	1.280031	1.570959	1.373106	0.9614264	1.603036	1.25328	1.828437	0.87477	1.262107	1.671451	1.705048	1.257397	1.362556	1.55346	1.456772	3.089629	2.829918	2.92411	1.985593	1.790767	1.528001	1.477403	1.818184	1.978221
DIABLO	-0.6267204	-0.2557538	-0.8072361	-0.221758	-0.5902663	-1.111967	0.2590529	-0.3822858	-1.375906	-1.283542	-0.7904431	-0.7114234	-1.095765	-1.733888	-0.6896801	-1.453069	-0.3418004	-0.3005526	-0.107235	0.01847826	0.06977369	0.1395355	-4.197022	-5.245636	-3.374841	0.2201922	0.0718309	-0.3169879	-1.21722	-0.3302487	-0.3186911
BAT3	-2.554034	-1.527004	-2.358996	-1.05825	-1.50724	-5.217622	-2.876969	-2.499396	-1.853524	-4.885798	-1.877012	-1.359266	-1.427308	-3.636971	-1.27365	-1.788826	-2.290334	-2.047108	-3.88529	-3.73794	-1.064242	-2.316624	-5.662315	-6.110679	-1.624302	-1.511871	-3.350984	-1.718752	-1.224339	-2.88393	-2.388884
DMD	2.716427	0.09893328	-1.173748	-0.9908346	0.4670829	-2.177528	-1.504742	1.384981	-1.320132	-5.315872	-1.551299	-1.567952	2.354407	2.259861	-0.560909	-2.281687	-1.091081	-1.428629	-3.99069	-3.809192	-4.43792	-3.509789	-3.753809	-4.97275	-6.554857	1.901716	-1.564878	-0.6029691	-1.888114	-1.728076	2.169056
TAF15	1.445197	1.020946	1.076624	0.8772837	0.7472352	-0.1494896	0.2123903	-0.6002197	0.5912544	-0.4024012	-0.2415331	0.6743801	0.2670991	0.605068	0.7830403	-0.9089092	0.1871401	0.3065487	0.3620713	-0.345288	-0.3511851	0.5370281	1.110707	1.149363	0.4504571	-1.374061	1.291336	1.058415	1.108886	1.074969	1.10048
NUCB2	-2.062996	-2.044686	-2.441523	-2.52477	-1.60857	-2.869355	-2.007074	-2.574797	-1.71847	-3.755051	-2.934308	-2.810953	-2.828363	-3.529819	-2.855425	-2.844119	-1.663145	-2.890152	-2.331633	-2.792862	-3.240886	-2.437204	-3.22315	-4.055095	-3.228772	-2.220229	-0.9944361	-2.460767	-3.057055	-1.754019	-0.6735198
TXNRD1	0.6544669	0.4518768	0.6203617	-2.025812	0.1974958	-2.360443	-0.8232064	-0.8507144	0.6257719	0.05349409	0.2112738	0.8263904	-0.1665927	0.7105696	0.3945376	0.5288593	-0.2192611	1.005657	-0.2399697	-0.6362007	0.6345934	0.7797244	1.768261	1.435425	1.881627	0.4186784	0.5953013	0.3697494	0.6393906	0.797627	0.4780316
GPX4	0.5274603	0.3262446	0.1636956	-0.6374686	-0.1078976	-0.3310341	-0.1289953	-0.2045208	-0.5295382	0.252068	0.3923407	-0.3611735	0.2642233	-0.08089566	0.004826382	-0.1459363	-0.4393213	-0.8375972	-0.8176827	-0.1061067	-0.25486	-0.03092492	-1.558415	-3.515193	-1.79243	0.4794766	0.3343672	-0.2291702	0.3783453	0.4135686	0.3954579
SLC1A3	-2.131522	-1.335344	-1.73997	-1.027701	0.1403692	-1.253291	1.654981	1.549534	0.5168822	-4.415944	-1.651268	-3.915585	-1.275841	-3.129412	-3.496372	-4.339398	-5.135911	-3.481978	-3.089872	-1.6968	-1.929358	-3.513871	-1.28946	-5.008889	-1.792472	-1.702182	-2.405128	-3.496454	-1.518786	-4.121314	-1.705335
NCAM1	-1.547126	-1.414014	-2.850236	-1.564875	-0.1893428	-2.079861	0.09355111	0.5858778	0.1248678	4.654008	4.721798	2.604422	2.115316	2.356881	1.79462	1.722497	0.1917828	0.3096502	-0.02605364	2.079253	1.863417	1.529065	0.3329459	-0.6859516	-1.107786	-1.95072	-3.003088	0.04839523	1.006538	1.019071	0.1599975
PABPC1	3.668146	3.770823	3.727891	3.2347	3.192722	3.253364	3.324309	3.287561	3.552555	2.550193	2.758853	3.176502	3.048089	3.424312	3.395414	2.696559	3.171793	3.456462	3.247392	3.406183	3.344808	3.439633	4.06423	3.518098	3.777285	3.31336	3.57079	3.516685	3.845165	3.792634	3.694904
UHRF1	-0.7563532	-0.9041404	-1.303268	-4.052066	-3.894953	-3.775701	-4.018549	-3.389122	-1.686246	-4.827862	-3.202798	-2.670186	-3.171039	-4.025143	-3.926923	-4.215117	-3.127294	-5.262627	-3.202641	-2.561977	-2.831482	-2.182242	-4.611607	-4.011033	-4.414279	-0.784866	-1.190408	-0.1526174	0.3478	-0.3907759	-1.167486
UBXN1	0.4029429	-2.466056	-0.6954908	-0.3198206	0.1541471	0.331375	-0.1835798	-1.843667	0.2970467	-0.8288029	0.1671098	0.08184826	0.3654186	0.3398522	0.6061102	0.2940082	-0.6859758	-0.4451403	0.5559447	0.4990233	0.3153829	-0.01784097	-0.2942058	-0.8369169	-2.020432	-0.2540442	0.2751299	0.2975806	-0.01204609	-0.5609307	-0.2219569
