"protein_name"	"gene"
"Serpin B6"	"SERPINB6"
"Hepatoma-derived growth factor-related protein 3"	"HDGFRP3"
"Vigilin"	"HDLBP"
"40S ribosomal protein S9"	"RPS9"
"EH domain-containing protein 1;EH domain-containing protein 3"	"EHD1"
"Proteasome subunit alpha type;Proteasome subunit alpha type-2"	"PSMA2"
"Diablo homolog, mitochondrial"	"DIABLO"
"Large proline-rich protein BAG6"	"BAT3"
"Dystrophin"	"DMD"
"TATA-binding protein-associated factor 2N"	"TAF15"
"Nucleobindin-2;Nesfatin-1"	"NUCB2"
"Thioredoxin reductase 1, cytoplasmic"	"TXNRD1"
"Glutathione peroxidase;Phospholipid hydroperoxide glutathione peroxidase, mitochondrial"	"GPX4"
"Amino acid transporter;Excitatory amino acid transporter 1"	"SLC1A3"
"Neural cell adhesion molecule 1"	"NCAM1"
"Polyadenylate-binding protein 1;Polyadenylate-binding protein;Polyadenylate-binding protein 3"	"PABPC1"
"E3 ubiquitin-protein ligase UHRF1"	"UHRF1"
"UBX domain-containing protein 1"	"UBXN1"
"Vacuolar protein sorting-associated protein 45"	"VPS45"
"Beta-catenin-like protein 1"	"CTNNBL1"
"Signal peptidase complex subunit 2"	"SPCS2"
"Beta-hexosaminidase;Beta-hexosaminidase subunit alpha"	"HEXA"
"Heterogeneous nuclear ribonucleoprotein D-like"	"HNRNPDL"
"Proteasome subunit beta type-3"	"PSMB3"
"SRA stem-loop-interacting RNA-binding protein, mitochondrial"	"SLIRP"
"Glutathione peroxidase;Glutathione peroxidase 1"	"GPX1"
"40S ribosomal protein S24"	"RPS24"
"Myelin expression factor 2"	"MYEF2"
"Eukaryotic translation initiation factor 5B"	"EIF5B"
"Spectrin beta chain, non-erythrocytic 1"	"SPTBN1"
"C-Myc-binding protein"	"MYCBP"
"Protein kinase C-binding protein 1"	"ZMYND8"
"Clathrin heavy chain;Clathrin heavy chain 1"	"CLTC"
"Single-stranded DNA-binding protein 2;Single-stranded DNA-binding protein 3"	"SSBP3"
"Methyl-CpG-binding protein 2"	"MECP2"
"Endophilin-B1"	"SH3GLB1"
"Nodal modulator 1;Nodal modulator 3;Nodal modulator 2"	"NOMO1"
"26S proteasome non-ATPase regulatory subunit 1"	"PSMD1"
"Lethal(2) giant larvae protein homolog 1"	"LLGL1"
"DNA polymerase delta subunit 2"	"POLD2"
"60S ribosomal protein L17"	"RPL17"
"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial"	"NDUFA10"
"ATPase ASNA1"	"ASNA1"
"Vacuolar protein sorting-associated protein VTA1 homolog"	"VTA1"
"Dachshund homolog 1"	"DACH1"
"AP-2 complex subunit mu"	"AP2M1"
