"class"	"rank"	"dataSetID"	"dataSetName"	"inGroups"	"pValue"	"Bonferroni"	"FDR"	"nCommonGenes"	"fracOfEffectiveClassSize"	"expectedFracOfEffectiveClassSize"	"enrichmentRatio"	"classSize"	"effectiveClassSize"	"fracOfEffectiveSetSize"	"effectiveSetSize"	"shortDataSetName"	"overlapGenes"
"1"	"black"	1	"GO:0022626"	"cytosolic ribosome"	"GO|GO.CC|GO"	8.24661531866379e-20	2.25429476350993e-14	2.05533808781032e-14	27	0.391304347826087	0.0528800755429651	7.39984472049689	69	69	0.482142857142857	56	"cytosolic ribosome"	"1654 (DDX3X)|3921 (RPSA)|6124 (RPL4)|6128 (RPL6)|6129 (RPL7)|6133 (RPL9)|6135 (RPL11)|6136 (RPL12)|6141 (RPL18)|6146 (RPL22)|6152 (RPL24)|6175 (RPLP0)|6188 (RPS3)|6193 (RPS5)|6202 (RPS8)|6203 (RPS9)|6205 (RPS11)|6207 (RPS13)|6208 (RPS14)|6210 (RPS15A)|6217 (RPS16)|6222 (RPS18)|6223 (RPS19)|6231 (RPS26)|9045 (RPL14)|10399 (RACK1)|23521 (RPL13A)"
"2"	"black"	2	"GO:0044391"	"ribosomal subunit"	"GO|GO.CC|GO"	1.50375920969441e-19	4.11067617562063e-14	2.05533808781032e-14	27	0.391304347826087	0.0538243626062323	7.2700228832952	69	69	0.473684210526316	57	"ribosomal subunit"	"1654 (DDX3X)|3921 (RPSA)|6124 (RPL4)|6128 (RPL6)|6129 (RPL7)|6133 (RPL9)|6135 (RPL11)|6136 (RPL12)|6141 (RPL18)|6146 (RPL22)|6152 (RPL24)|6175 (RPLP0)|6188 (RPS3)|6193 (RPS5)|6202 (RPS8)|6203 (RPS9)|6205 (RPS11)|6207 (RPS13)|6208 (RPS14)|6210 (RPS15A)|6217 (RPS16)|6222 (RPS18)|6223 (RPS19)|6231 (RPS26)|9045 (RPL14)|10399 (RACK1)|23521 (RPL13A)"
"3"	"black"	3	"GO:0072599"	"establishment of protein localization to endoplasmic reticulum"	"GO|GO.BP|GO"	2.93808971922529e-18	8.03156205647424e-13	2.67718735215808e-13	26	0.376811594202899	0.0538243626062323	7.00076277650648	69	69	0.456140350877193	57	"establishment of protein localization to endoplasmic reticulum"	"3921 (RPSA)|6124 (RPL4)|6128 (RPL6)|6129 (RPL7)|6133 (RPL9)|6135 (RPL11)|6136 (RPL12)|6141 (RPL18)|6146 (RPL22)|6152 (RPL24)|6175 (RPLP0)|6188 (RPS3)|6193 (RPS5)|6202 (RPS8)|6203 (RPS9)|6205 (RPS11)|6207 (RPS13)|6208 (RPS14)|6210 (RPS15A)|6217 (RPS16)|6222 (RPS18)|6223 (RPS19)|6231 (RPS26)|9045 (RPL14)|10890 (RAB10)|23521 (RPL13A)"
"4"	"black"	4	"GO:0005840"	"ribosome"	"GO|GO.CC|GO"	4.09586587848843e-18	1.1196458965436e-12	2.79911474135899e-13	27	0.391304347826087	0.0594900849858357	6.57763975155279	69	69	0.428571428571429	63	"ribosome"	"1654 (DDX3X)|3921 (RPSA)|6124 (RPL4)|6128 (RPL6)|6129 (RPL7)|6133 (RPL9)|6135 (RPL11)|6136 (RPL12)|6141 (RPL18)|6146 (RPL22)|6152 (RPL24)|6175 (RPLP0)|6188 (RPS3)|6193 (RPS5)|6202 (RPS8)|6203 (RPS9)|6205 (RPS11)|6207 (RPS13)|6208 (RPS14)|6210 (RPS15A)|6217 (RPS16)|6222 (RPS18)|6223 (RPS19)|6231 (RPS26)|9045 (RPL14)|10399 (RACK1)|23521 (RPL13A)"
"5"	"black"	5	"GO:0003735"	"structural constituent of ribosome"	"GO|GO.MF|GO"	5.65282424389237e-18	1.54525603531042e-12	3.09051207062084e-13	25	0.36231884057971	0.0500472143531634	7.23954060705496	69	69	0.471698113207547	53	"structural constituent of ribosome"	"3921 (RPSA)|6124 (RPL4)|6128 (RPL6)|6129 (RPL7)|6133 (RPL9)|6135 (RPL11)|6136 (RPL12)|6141 (RPL18)|6146 (RPL22)|6152 (RPL24)|6175 (RPLP0)|6188 (RPS3)|6193 (RPS5)|6202 (RPS8)|6203 (RPS9)|6205 (RPS11)|6207 (RPS13)|6208 (RPS14)|6210 (RPS15A)|6217 (RPS16)|6222 (RPS18)|6223 (RPS19)|6231 (RPS26)|9045 (RPL14)|23521 (RPL13A)"
"6"	"black"	6	"GO:0006613"	"cotranslational protein targeting to membrane"	"GO|GO.BP|GO"	1.00846080710639e-17	2.75672846230602e-12	3.93818351758003e-13	25	0.36231884057971	0.0509915014164306	7.10547504025765	69	69	0.462962962962963	54	"cotranslational protein targeting to membrane"	"3921 (RPSA)|6124 (RPL4)|6128 (RPL6)|6129 (RPL7)|6133 (RPL9)|6135 (RPL11)|6136 (RPL12)|6141 (RPL18)|6146 (RPL22)|6152 (RPL24)|6175 (RPLP0)|6188 (RPS3)|6193 (RPS5)|6202 (RPS8)|6203 (RPS9)|6205 (RPS11)|6207 (RPS13)|6208 (RPS14)|6210 (RPS15A)|6217 (RPS16)|6222 (RPS18)|6223 (RPS19)|6231 (RPS26)|9045 (RPL14)|23521 (RPL13A)"
"7"	"black"	7	"GO:0006614"	"SRP-dependent cotranslational protein targeting to membrane"	"GO|GO.BP|GO"	1.00846080710639e-17	2.75672846230602e-12	3.93818351758003e-13	25	0.36231884057971	0.0509915014164306	7.10547504025765	69	69	0.462962962962963	54	"SRP-dependent cotranslational protein targeting to membrane"	"3921 (RPSA)|6124 (RPL4)|6128 (RPL6)|6129 (RPL7)|6133 (RPL9)|6135 (RPL11)|6136 (RPL12)|6141 (RPL18)|6146 (RPL22)|6152 (RPL24)|6175 (RPLP0)|6188 (RPS3)|6193 (RPS5)|6202 (RPS8)|6203 (RPS9)|6205 (RPS11)|6207 (RPS13)|6208 (RPS14)|6210 (RPS15A)|6217 (RPS16)|6222 (RPS18)|6223 (RPS19)|6231 (RPS26)|9045 (RPL14)|23521 (RPL13A)"
"8"	"black"	8	"GO:0000184"	"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay"	"GO|GO.BP|GO"	1.48078773263538e-17	4.04788134593207e-12	4.49764593992452e-13	26	0.376811594202899	0.056657223796034	6.65072463768116	69	69	0.433333333333333	60	"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay"	"3921 (RPSA)|6124 (RPL4)|6128 (RPL6)|6129 (RPL7)|6133 (RPL9)|6135 (RPL11)|6136 (RPL12)|6141 (RPL18)|6146 (RPL22)|6152 (RPL24)|6175 (RPLP0)|6188 (RPS3)|6193 (RPS5)|6202 (RPS8)|6203 (RPS9)|6205 (RPS11)|6207 (RPS13)|6208 (RPS14)|6210 (RPS15A)|6217 (RPS16)|6222 (RPS18)|6223 (RPS19)|6231 (RPS26)|9045 (RPL14)|23521 (RPL13A)|55110 (MAGOHB)"
"9"	"black"	9	"GO:0070972"	"protein localization to endoplasmic reticulum"	"GO|GO.BP|GO"	1.48078773263538e-17	4.04788134593207e-12	4.49764593992452e-13	26	0.376811594202899	0.056657223796034	6.65072463768116	69	69	0.433333333333333	60	"protein localization to endoplasmic reticulum"	"3921 (RPSA)|6124 (RPL4)|6128 (RPL6)|6129 (RPL7)|6133 (RPL9)|6135 (RPL11)|6136 (RPL12)|6141 (RPL18)|6146 (RPL22)|6152 (RPL24)|6175 (RPLP0)|6188 (RPS3)|6193 (RPS5)|6202 (RPS8)|6203 (RPS9)|6205 (RPS11)|6207 (RPS13)|6208 (RPS14)|6210 (RPS15A)|6217 (RPS16)|6222 (RPS18)|6223 (RPS19)|6231 (RPS26)|9045 (RPL14)|10890 (RAB10)|23521 (RPL13A)"
"10"	"black"	10	"GO:0019083"	"viral transcription"	"GO|GO.BP|GO"	3.06529445221404e-17	8.3792889145723e-12	6.98274076214359e-13	25	0.36231884057971	0.0528800755429651	6.85170807453416	69	69	0.446428571428571	56	"viral transcription"	"3921 (RPSA)|6124 (RPL4)|6128 (RPL6)|6129 (RPL7)|6133 (RPL9)|6135 (RPL11)|6136 (RPL12)|6141 (RPL18)|6146 (RPL22)|6152 (RPL24)|6175 (RPLP0)|6188 (RPS3)|6193 (RPS5)|6202 (RPS8)|6203 (RPS9)|6205 (RPS11)|6207 (RPS13)|6208 (RPS14)|6210 (RPS15A)|6217 (RPS16)|6222 (RPS18)|6223 (RPS19)|6231 (RPS26)|9045 (RPL14)|23521 (RPL13A)"
