Genes,cadherin binding (GO:0045296),purine ribonucleoside triphosphate binding (GO:0035639),RNA binding (GO:0003723),GTP binding (GO:0005525),tubulin binding (GO:0015631),microtubule binding (GO:0008017),protein kinase binding (GO:0019901),guanyl ribonucleotide binding (GO:0032561),nucleoside-triphosphatase activity (GO:0017111),GTPase activity (GO:0003924),kinase binding (GO:0019900),syntaxin-1 binding (GO:0017075),actin binding (GO:0003779),ubiquitin protein ligase binding (GO:0031625),magnesium ion binding (GO:0000287),ATP binding (GO:0005524),ubiquitin-like protein ligase binding (GO:0044389),protein kinase A catalytic subunit binding (GO:0034236),adenyl ribonucleotide binding (GO:0032559),protein heterodimerization activity (GO:0046982),dihydropyrimidinase activity (GO:0004157),G protein-coupled serotonin receptor binding (GO:0031821),cAMP-dependent protein kinase inhibitor activity (GO:0004862),protein serine/threonine kinase inhibitor activity (GO:0030291),syntaxin binding (GO:0019905),"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amides (GO:0016812)",cAMP-dependent protein kinase regulator activity (GO:0008603),semaphorin receptor activity (GO:0017154),ubiquitin-dependent protein binding (GO:0140036),dynactin binding (GO:0034452),"intramolecular oxidoreductase activity, transposing C=C bonds (GO:0016863)",tau protein binding (GO:0048156),insulin-like growth factor receptor binding (GO:0005159),metal ion binding (GO:0046872),snRNA binding (GO:0017069),"ATPase activity, coupled to transmembrane movement of ions, rotational mechanism (GO:0044769)","proton-transporting ATPase activity, rotational mechanism (GO:0046961)",MHC class I protein binding (GO:0042288),phosphatidylinositol bisphosphate binding (GO:1902936),tau-protein kinase activity (GO:0050321),ATPase activator activity (GO:0001671),G protein-coupled receptor binding (GO:0001664),ubiquitin-specific protease binding (GO:1990381),TBP-class protein binding (GO:0017025),disordered domain specific binding (GO:0097718),gamma-tubulin binding (GO:0043015),pyrophosphate hydrolysis-driven proton transmembrane transporter activity (GO:0009678),general transcription initiation factor binding (GO:0140296),ADP binding (GO:0043531),GDP binding (GO:0019003),MHC protein binding (GO:0042287),protease binding (GO:0002020),ATPase binding (GO:0051117),double-stranded RNA binding (GO:0003725),ubiquitin binding (GO:0043130),protein tyrosine phosphatase activity (GO:0004725),chemoattractant activity (GO:0042056),DNA secondary structure binding (GO:0000217)
AASDHPPT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.853951024717701e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.010375031334802389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACLY,NA,1.0430898997778833e-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2099906592888062e-4,NA,NA,4.985827366232171e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACP1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04552733132972869,NA,NA
ACTC1,NA,1.0430898997778833e-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2099906592888062e-4,NA,NA,4.985827366232171e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ADD1,4.6841787774702886e-11,NA,1.276487021928562e-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3045456403884163e-4,NA,NA,NA,NA,NA,NA,9.987396476440595e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AHNAK,4.6841787774702886e-11,NA,1.276487021928562e-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANK2,NA,NA,NA,NA,NA,NA,2.5119347480972067e-6,NA,NA,NA,4.14761271205937e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04401861780100741,NA,NA,NA,NA,NA
ARHGEF2,NA,NA,NA,NA,1.2579167016153836e-6,1.4504019295533798e-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ATP1A3,NA,1.0430898997778833e-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2099906592888062e-4,NA,NA,4.985827366232171e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ATP1B1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.987396476440595e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.019242788347178488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04401861780100741,NA,NA,NA,NA,NA
ATP6V0A1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.012499920116933438,0.012499920116933438,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.025090238576642023,NA,NA,NA,NA,NA,0.04401861780100741,NA,NA,NA,NA,NA
ATP6V1B2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.012499920116933438,0.012499920116933438,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.025090238576642023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRSK1,NA,1.0430898997778833e-9,NA,NA,1.2579167016153836e-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.853951024717701e-4,2.2099906592888062e-4,NA,NA,4.985827366232171e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009033491594703935,NA,0.010375031334802389,NA,NA,NA,NA,NA,0.019242788347178488,NA,NA,NA,NA,NA,0.025090238576642023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMSAP3,NA,NA,NA,NA,NA,1.4504019295533798e-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAP1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3045456403884163e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CDC42,NA,1.0430898997778833e-9,NA,1.0041493178066567e-6,NA,NA,2.5119347480972067e-6,3.679031089660104e-6,1.046727946824993e-5,2.315330539759467e-5,4.14761271205937e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CDK6,NA,1.0430898997778833e-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2099906592888062e-4,NA,NA,4.985827366232171e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CKAP4,NA,NA,1.276487021928562e-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CLASP2,NA,NA,NA,NA,1.2579167016153836e-6,1.4504019295533798e-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CLTC,NA,NA,1.276487021928562e-8,NA,NA,NA,2.5119347480972067e-6,NA,NA,NA,4.14761271205937e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02111969246326869,NA,0.025090238576642023,NA,NA,NA,NA,NA,NA,0.038635410481223535,NA,0.04401861780100741,NA,NA,NA,NA
CLVS2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.018681112977218903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CSTB,NA,NA,1.276487021928562e-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.038635410481223535,NA,NA,NA,NA,NA,NA
