Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes									
Messenger RNA splicing: major pathway	12/68	1.34E-17	3.36E-15	0	0	69.80444965	2711.982994	HNRNPL;CPSF7;HNRNPK;SNRNP70;FUS;SRSF1;HNRNPD;HNRNPU;HNRNPR;HNRNPC;RBMX;SRSF9									
Messenger RNA processing	14/203	1.71E-14	2.15E-12	0	0	24.78091651	785.5001551	CPSF7;FUS;SRSF1;HNRNPU;HNRNPR;HNRNPAB;HNRNPL;SFPQ;HNRNPK;SNRNP70;HNRNPD;HNRNPC;RBMX;SRSF9									
Capped intron-containing pre-mRNA processing	12/138	9.19E-14	7.69E-12	0	0	30.91491023	927.9909743	HNRNPL;CPSF7;HNRNPK;SNRNP70;FUS;SRSF1;HNRNPD;HNRNPU;HNRNPR;HNRNPC;RBMX;SRSF9									
Gene expression	22/968	2.24E-12	1.41E-10	0	0	8.655266758	232.1668878	CPSF7;EIF1AX;FUS;RPL34;SRSF1;HNRNPU;HNRNPR;HIST2H2BE;HNRNPL;HNRNPK;RPL18A;PSMA1;SNRNP70;KHSRP;CLNS1A;HNRNPD;RPL13;RPS20;HNRNPC;RBMX;RAN;SRSF9									
Spliceosome	9/127	8.69E-10	4.36E-08	0	0	23.60712394	492.5413318	TCERG1;DDX5;HNRNPK;SNRNP70;SRSF1;HNRNPU;HNRNPC;RBMX;SRSF9									
Disease	11/674	3.12E-05	0.001305789	0	0	5.155062521	53.48192601	RPL18A;PSMA1;RPL34;KHSRP;LMNA;RPL13;RPS20;HIST2H2BE;EPN1;STX1A;RAN									
Cytoplasmic ribosomal proteins	5/108	4.69E-05	0.001682464	0	0	14.15191319	141.0526675	RPL18A;EIF1AX;RPL34;RPL13;RPS20									
Cap-dependent translation initiation	4/73	1.47E-04	0.00442896	0	0	16.68388994	147.2418609	RPL18A;EIF1AX;RPL34;RPL13									
Influenza infection	5/142	1.71E-04	0.00442896	0	0	10.62151138	92.10793252	RPL18A;RPL34;RPL13;RPS20;RAN									
TNFR1 signaling pathway	30-Mar	1.76E-04	0.00442896	0	0	31.58730159	272.9919365	LMNA;LMNB2;LMNB1									
Translation	5/151	2.28E-04	0.005205142	0	0	9.962228042	83.53991717	RPL18A;EIF1AX;RPL34;RPL13;RPS20									
FAS pathway and stress induction of heat shock protein regulation	3/39	3.88E-04	0.00811455	0	0	23.6797619	185.9960727	LMNA;LMNB2;LMNB1									
Cleavage of growing transcript in the termination region	3/43	5.18E-04	0.009855872	0	0	21.3075	161.185391	CPSF7;SRSF1;SRSF9									
Chromosome maintenance	4/103	5.50E-04	0.009855872	0	0	11.61059874	87.15012293	RUVBL2;LMNA;HIST2H2BE;LMNB1									
Apoptotic execution  phase	3/52	9.07E-04	0.015173817	0	0	17.38600583	121.7991697	LMNA;HMGB1;LMNB1									
Meiotic synapsis	3/55	0.001068072	0.016750581	0	0	16.38049451	112.0737136	LMNA;HIST2H2BE;LMNB1									
Influenza viral RNA transcription and replication	4/125	0.001134501	0.016750581	0	0	9.489040604	64.35051654	RPL18A;RPL34;RPL13;RPS20									
HIV-1 Nef as negative effector of Fas and TNF	3/58	0.001246406	0.017302578	0	0	15.48467532	103.5536279	LMNA;LMNB2;LMNB1									
Caspase cascade in apoptosis	3/59	0.001309757	0.017302578	0	0	15.20739796	100.9453954	LMNA;LMNB2;LMNB1									
RANKL regulation of apoptosis and immune response	3/74	0.002511598	0.031520553	0	0	11.98551308	71.75530268	ILF3;FUBP1;RPS20									
BDNF signaling pathway	5/261	0.002657248	0.031760441	0	0	5.649988511	33.50705497	DDX17;SFPQ;LMNA;HMGB3;CSPG4									
Response to elevated platelet cytosolic calcium	3/83	0.003477555	0.037950704	0	0	10.63232143	60.19410052	TMSB4X;CFL1;KNG1									
Meiosis	3/83	0.003477555	0.037950704	0	0	10.63232143	60.19410052	LMNA;HIST2H2BE;LMNB1									
mRNA stability regulation by proteins that bind AU-rich elements	3/86	0.003843332	0.040194851	0	0	10.2464716	56.98488591	PSMA1;KHSRP;HNRNPD									
Tetrasaccharide linker sequence formation in glycosaminoglycan biosynthesis	26-Feb	0.004035229	0.040513702	0	0	23.36032864	128.7783007	CSPG4;AGRN									
Transcription	4/181	0.004345208	0.041947971	0	0	6.468517154	35.18020535	CPSF7;SRSF1;HIST2H2BE;SRSF9									
RNA polymerase II transcription	3/101	0.00601952	0.055503569	0	0	8.671574344	44.33557218	CPSF7;SRSF1;SRSF9									
Cell cycle	6/453	0.006191633	0.055503569	0	0	3.902634479	19.84316502	PSMA1;RUVBL2;LMNA;MCM6;HIST2H2BE;LMNB1									
G13 signaling pathway	2/39	0.008923412	0.077233667	0	0	15.14274838	71.45979444	CFL1;PKN1									
"VEGF, hypoxia, and angiogenesis"	2/42	0.010295787	0.086141414	0	0	14.00492958	64.08684545	EIF1AX;KNG1									
RhoA signaling pathway	2/45	0.011755407	0.090244705	0	0	13.02587619	57.87972502	CFL1;PKN1									
Integrin-linked kinase signaling	2/45	0.011755407	0.090244705	0	0	13.02587619	57.87972502	RUVBL2;ILKAP									
Apoptosis	4/242	0.011864842	0.090244705	0	0	4.795761783	21.26525049	PSMA1;LMNA;HMGB1;LMNB1									
Chondroitin sulfate/dermatan sulfate metabolism	2/48	0.01330026	0.098187212	0	0	12.17452541	52.59360534	CSPG4;AGRN									
Diabetes pathways	3/137	0.013796869	0.098943264	0	0	6.330383795	27.11501877	KHSRP;LMNA;STX1A									
EGF/EGFR signaling pathway	3/141	0.014896089	0.103858841	0	0	6.145652174	25.85264826	CFL1;PEBP1;EPN1									
Heparan sulfate/heparin glycosaminoglycan (HS-GAG) metabolism	2/52	0.015489228	0.105075576	0	0	11.19830986	46.6701931	CSPG4;AGRN									
Transport of mature transcript to cytoplasm	2/55	0.017225309	0.105115174	0	0	10.56284879	42.89969558	SRSF1;SRSF9									
Phospholipase C delta-1 interactions in phospholipid-associated cell signaling	05-Jan	0.018118916	0.105115174	0	0	69.17708333	277.4553644	PLCD1									
Blockade of neurotransmitter release by botulinum toxin	05-Jan	0.018118916	0.105115174	0	0	69.17708333	277.4553644	STX1A									
Cycling of Ran in nucleocytoplasmic transport	05-Jan	0.018118916	0.105115174	0	0	69.17708333	277.4553644	RAN									
EGFR1 pathway	3/152	0.018168743	0.105115174	0	0	5.688782359	22.80093887	PDCD5;HMGB3;HNRNPAB									
"Activation of mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S"	2/57	0.018426564	0.105115174	0	0	10.17772087	40.64942979	EIF1AX;RPS20									
Inositol phosphate metabolism	2/57	0.018426564	0.105115174	0	0	10.17772087	40.64942979	IMPA1;PLCD1									
Telomere maintenance	2/59	0.019662263	0.109671736	0	0	9.819619471	38.58181556	RUVBL2;HIST2H2BE									
Licensing factor removal from origins	2/61	0.020931855	0.114215122	0	0	9.485796133	36.67667062	PSMA1;MCM6									
Telomere extension by telomerase	06-Jan	0.021703663	0.115906795	0	0	55.33888889	211.9631207	RUVBL2									
Protein metabolism	5/442	0.02269838	0.116318643	0	0	3.279378113	12.41396031	RPL18A;EIF1AX;RPL34;RPL13;RPS20									
T cell receptor regulation of apoptosis	6/603	0.022707624	0.116318643	0	0	2.899572489	10.97504011	ILF3;PDCD5;PALM;RPS20;HMGB1;PCYOX1									
Destabilization of mRNA by AUF1 (hnRNP D0)	2/66	0.02425055	0.12173776	0	0	8.742517606	32.51618551	PSMA1;HNRNPD									
Phosphatidylinositol signaling system	2/78	0.033016304	0.157112832	0	0	7.35767235	25.09520887	IMPA1;PLCD1									
Unfolded protein response	2/79	0.033795318	0.157112832	0	0	7.261752332	24.59869954	KHSRP;LMNA									
Apoptotic DNA fragmentation and tissue homeostasis	10-Jan	0.035914031	0.157112832	0	0	30.73765432	102.2527178	HMGB1									
Ran role in mitotic spindle regulation	10-Jan	0.035914031	0.157112832	0	0	30.73765432	102.2527178	RAN									
COPI-mediated vesicle transport	10-Jan	0.035914031	0.157112832	0	0	30.73765432	102.2527178	ARCN1									
Dermatan sulfate biosynthesis	10-Jan	0.035914031	0.157112832	0	0	30.73765432	102.2527178	CSPG4									
"Platelet activation, signaling and aggregation"	3/205	0.039115448	0.157112832	0	0	4.184936351	13.5643739	TMSB4X;CFL1;KNG1									
Acetylcholine neurotransmitter release cycle	11-Jan	0.039434695	0.157112832	0	0	27.6625	89.43588521	STX1A									
Serotonin transporter activity	11-Jan	0.039434695	0.157112832	0	0	27.6625	89.43588521	STX1A									
Mechanism of protein import into the nucleus	11-Jan	0.039434695	0.157112832	0	0	27.6625	89.43588521	RAN									
Unwinding of DNA	11-Jan	0.039434695	0.157112832	0	0	27.6625	89.43588521	MCM6									
Norepinephrine neurotransmitter release cycle	11-Jan	0.039434695	0.157112832	0	0	27.6625	89.43588521	STX1A									
p38 gamma/delta MAPK pathway	11-Jan	0.039434695	0.157112832	0	0	27.6625	89.43588521	PKN1									
"Androgen receptor signaling, proteolysis, and transcription regulation"	2/88	0.041122067	0.158509003	0	0	6.498853587	20.73920915	DSTN;RAN									
DNA replication pre-Initiation	2/88	0.041122067	0.158509003	0	0	6.498853587	20.73920915	PSMA1;MCM6									
Thymic stromal lymphopoietin (TSLP) pathway	2/90	0.042824755	0.158509003	0	0	6.350512164	20.00817098	PSMA1;PDCD5									
Parkin role in the ubiquitin-proteasomal pathway	12-Jan	0.042942678	0.158509003	0	0	25.14646465	79.15828252	UBE2G1									
Dopamine neurotransmitter release cycle	12-Jan	0.042942678	0.158509003	0	0	25.14646465	79.15828252	STX1A									
Activation of DNA fragmentation factor	13-Jan	0.046438025	0.164168231	0	0	23.04976852	70.75441406	HMGB1									
Advanced glycosylation endproduct receptor signaling	13-Jan	0.046438025	0.164168231	0	0	23.04976852	70.75441406	HMGB1									
Chondroitin sulfate/dermatan sulfate degradation	13-Jan	0.046438025	0.164168231	0	0	23.04976852	70.75441406	CSPG4									
Intronless pre-mRNA processing	14-Jan	0.049920782	0.174029392	0	0	21.27564103	63.76985959	CPSF7									
AKAP95 role in mitosis and chromosome dynamics	15-Jan	0.053390992	0.176330775	0	0	19.75496032	57.8842708	DDX5									
Sema3A/PAK-dependent axon repulsion	15-Jan	0.053390992	0.176330775	0	0	19.75496032	57.8842708	CFL1									
Spliceosomal assembly	15-Jan	0.053390992	0.176330775	0	0	19.75496032	57.8842708	SNRNP70									
Coagulation intrinsic pathway	15-Jan	0.053390992	0.176330775	0	0	19.75496032	57.8842708	KNG1									
Glutamate neurotransmitter release cycle	16-Jan	0.0568487	0.177726932	0	0	18.43703704	52.86565804	STX1A									
Protein kinase A (PKA) at the centrosome	16-Jan	0.0568487	0.177726932	0	0	18.43703704	52.86565804	PKN1									
ERBB1 downstream pathway	2/106	0.057347352	0.177726932	0	0	5.369176598	15.34848182	PPP5C;PEBP1									
ACE inhibitor pathway	17-Jan	0.060293951	0.177726932	0	0	17.28385417	48.54211058	KNG1									
