Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes	
"mRNA splicing, via spliceosome (GO:0000398)"	17/274	1.14E-16	8.56E-14	0	0	23.2344358	852.9391094	DDX17;DDX5;CPSF7;FUS;SRSF1;HNRNPU;HNRNPR;HNRNPL;SFPQ;HNRNPK;SNRNP70;CLNS1A;HNRNPD;RALY;HNRNPC;RBMX;SRSF9	
mRNA processing (GO:0006397)	16/300	1.08E-14	3.78E-12	0	0	19.41487522	624.4450638	TCERG1;DDX5;CPSF7;FUS;SRSF1;HNRNPU;HNRNPR;HNRNPL;SFPQ;HNRNPK;SNRNP70;HNRNPD;RALY;HNRNPC;RBMX;SRSF9	
"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)"	15/251	1.51E-14	3.78E-12	0	0	21.57838983	686.7283426	DDX5;CPSF7;FUS;SRSF1;HNRNPU;HNRNPR;HNRNPL;SFPQ;HNRNPK;SNRNP70;HNRNPD;RALY;HNRNPC;RBMX;SRSF9	
RNA processing (GO:0006396)	13/179	8.23E-14	1.55E-11	0	0	25.79246988	777.0811971	DDX17;TCERG1;FUS;SRSF1;HNRNPU;HNRNPR;HNRNPL;SFPQ;HNRNPK;KHSRP;HNRNPD;HNRNPC;SRSF9	
nucleic acid metabolic process (GO:0090304)	8/71	1.88E-10	2.82E-08	0	0	38.80634921	869.0704854	HNRNPL;HNRNPK;HNRNPD;HNRNPU;HNRNPR;HNRNPC;RBMX;RAN	
"alternative mRNA splicing, via spliceosome (GO:0000380)"	18-May	4.65E-09	5.82E-07	0	0	112.6357466	2161.007317	DDX17;DDX5;SFPQ;SRSF1;SRSF9	
gene expression (GO:0010467)	12/356	5.83E-09	6.26E-07	0	0	11.19881815	212.3256999	DDX17;HNRNPL;PPP5C;HNRNPK;RPL18A;RPL34;SRSF1;HNRNPD;HNRNPU;RPL13;RPS20;SRSF9	
RNA metabolic process (GO:0016070)	8/133	2.89E-08	2.71E-06	0	0	19.49735385	338.44967	DDX17;HNRNPL;HNRNPK;HNRNPD;HNRNPU;HNRNPR;HNRNPC;RBMX	
"regulation of mRNA splicing, via spliceosome (GO:0048024)"	7/90	3.77E-08	3.15E-06	0	0	25.35742972	433.4249713	DDX17;HNRNPL;DDX5;HNRNPK;HNRNPU;RBMX;SRSF9	
mRNA metabolic process (GO:0016071)	7/95	5.50E-08	4.13E-06	0	0	23.9106405	399.6835096	TCERG1;SFPQ;DDX5;YTHDF2;SRSF1;HNRNPR;SRSF9	
"regulation of alternative mRNA splicing, via spliceosome (GO:0000381)"	5/54	1.55E-06	1.06E-04	0	0	29.82893157	399.0119212	DDX17;HNRNPL;DDX5;HNRNPU;RBMX	
regulation of mRNA stability (GO:0043488)	6/146	1.55E-05	9.72E-04	0	0	12.65692964	140.1397444	YTHDF2;PSMA1;FUS;KHSRP;HNRNPD;HNRNPU	
RNA splicing (GO:0008380)	5/98	2.94E-05	0.001698732	0	0	15.68153068	163.6262543	TCERG1;SFPQ;FUS;KHSRP;HNRNPC	
miRNA metabolic process (GO:0010586)	20-Mar	5.09E-05	0.002728333	0	0	50.19327731	496.2314583	DDX17;KHSRP;RAN	
regulation of RNA metabolic process (GO:0051252)	4/65	9.34E-05	0.004678417	0	0	18.87954383	175.1672582	HNRNPL;YTHDF2;SNRNP70;FUS	
regulation of RNA splicing (GO:0043484)	4/76	1.72E-04	0.008063751	0	0	15.9863124	138.5884339	HNRNPL;HNRNPK;SNRNP70;FUS	
SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	4/90	3.29E-04	0.013816863	0	0	13.37445231	107.2458491	RPL18A;RPL34;RPL13;RPS20	
ncRNA metabolic process (GO:0034660)	3/37	3.32E-04	0.013816863	0	0	25.07521008	200.8948638	DDX17;KHSRP;RAN	
regulation of chaperone-mediated autophagy (GO:1904714)	08-Feb	3.63E-04	0.013816863	0	0	93.5258216	740.8960695	SNRNP70;GFAP	
cytoplasmic translation (GO:0002181)	4/93	3.73E-04	0.013816863	0	0	12.92167399	101.9982601	RPL18A;RPL34;RPL13;RPS20	
cotranslational protein targeting to membrane (GO:0006613)	4/94	3.89E-04	0.013816863	0	0	12.77745572	100.3393058	RPL18A;RPL34;RPL13;RPS20	
nuclear-transcribed mRNA catabolic process (GO:0000956)	5/171	4.05E-04	0.013816863	0	0	8.753100638	68.38122409	DDX5;RPL18A;RPL34;RPL13;RPS20	
regulation of skeletal muscle cell differentiation (GO:2001014)	09-Feb	4.65E-04	0.015192206	0	0	80.16096579	615.0658048	DDX17;DDX5	
regulation of gene expression (GO:0010468)	12/1079	4.98E-04	0.015579001	0	0	3.477192066	26.44468255	HNRNPL;SFPQ;YTHDF2;HNRNPK;SNRNP70;FUS;KHSRP;FUBP1;PDCD5;CPNE1;HNRNPD;HNRNPAB	
protein targeting to ER (GO:0045047)	4/103	5.50E-04	0.016028085	0	0	11.61059874	87.15012293	RPL18A;RPL34;RPL13;RPS20	
