Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
microtubule cytoskeleton (GO:0015630)	24/331	1.807957450292446E-13	3.561676177076119E-11	0	0	7.972304176543821	233.9186333816232	TUBB;CLTC;TUBB4B;TUBB4A;NDRG1;DNM1;DNM3;ACTR1A;TUBB2B;TUBA1A;TUBB2A;KIF5C;TUBB3;DPYSL2;MAP1B;MAP1A;MAP6;MAPT;ARHGEF2;CCT7;EMD;SPTAN1;GAPDH;CLASP2
polymeric cytoskeletal fiber (GO:0099513)	21/256	5.898240817061474E-13	5.809767204805552E-11	0	0	9.0052643123492	253.57880614075825	TUBB;TPM1;MYO5A;TUBB4B;TUBB4A;NDRG1;TUBB2B;TUBA1A;TUBB2A;ACTC1;KIF5C;TUBB3;DPYSL2;MAP1B;MAP1A;MAP6;PLS3;MAPT;ARHGEF2;CCT7;CLASP2
microtubule (GO:0005874)	17/182	1.3044594134104725E-11	8.565950148062103E-10	0	0	10.209366391184574	255.87374912674127	TUBB;TUBB4B;NDRG1;TUBB4A;TUBB2B;TUBA1A;TUBB2A;KIF5C;TUBB3;DPYSL2;MAP1B;MAP1A;MAP6;ARHGEF2;MAPT;CCT7;CLASP2
focal adhesion (GO:0005925)	22/387	2.23015771503514E-10	1.0983526746548064E-8	0	0	6.064873305415572	134.78440171451055	CAP1;AHNAK;RPLP1;CLTC;L1CAM;YWHAZ;ADD1;RHOB;CDC42;PPP1CC;NFASC;ACTC1;ARPC3;RPLP2;MYH9;KRAS;ARHGEF2;TLN1;RPS10;PPIA;YWHAG;CLASP2
cell-substrate junction (GO:0030055)	22/394	3.1324749162140394E-10	1.2341951169883315E-8	0	0	5.948604379074043	130.1794219954126	CAP1;AHNAK;RPLP1;CLTC;L1CAM;YWHAZ;ADD1;RHOB;CDC42;PPP1CC;NFASC;ACTC1;ARPC3;RPLP2;MYH9;KRAS;ARHGEF2;TLN1;RPS10;PPIA;YWHAG;CLASP2
vesicle (GO:0031982)	17/226	3.9882144365874706E-10	1.3094637400128863E-8	0	0	8.041950606543908	174.0479747793619	SNAP25;AHNAK;CLTC;MYO5A;ATP1A3;MIF;TUBB4B;ATP1B1;YWHAZ;GNAI2;TUBB2A;ARHGEF2;UBA52;SPTAN1;PPIA;GAPDH;VAMP2
axon (GO:0030424)	15/204	6.039156784512538E-9	1.6995912664985284E-7	0	0	7.776190476190476	147.16441595929678	GSK3B;PTPRS;ATP1A3;L1CAM;COMT;DNM1;DNM3;TUBB3;MAP1B;MAP1A;MAP6;NEFL;MAPT;CTNNA2;NCDN
cytoskeleton (GO:0005856)	25/600	7.729885473362103E-9	1.7499504840203146E-7	0	0	4.395881006864989	82.10702061603801	SNAP25;AHNAK;PDXP;NDRG1;ADD1;ACTR1A;TUBA1A;EPB41L1;SPTAN1;HSDL1;TUBB;TPM1;MYO5A;TUBB4B;DNM1;RHOB;DNM3;TUBB2B;ARPC3;MYH9;ALDOC;AMPH;MAPT;ARHGEF2;GAPDH
neuron projection (GO:0043005)	24/556	7.994697642732401E-9	1.7499504840203146E-7	0	0	4.5474156595677675	84.78423355660817	CAMK2B;GSK3B;SNAP25;PTPRS;STMN2;MYO5A;ATP1A3;ANK2;L1CAM;COMT;GPHN;DNM1;DNM3;CDC42;TUBB3;MAP1B;MAP1A;MAP6;NEFL;NCAM1;MAPT;CTNNA2;NCDN;VAMP2
ficolin-1-rich granule (GO:0101002)	13/184	1.0215883418304971E-7	2.0125290334060794E-6	0	0	7.381796074344276	118.82283026921678	CSTB;IDH1;PDAP1;MIF;SRP14;ACLY;NFASC;FTH1;PSMC2;SIRPA;ALDOC;PPIA;ATP6V0A1
