Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
RNA binding (GO:0003723)	37/1406	1.0101151927930274E-23	1.4040601179823082E-21	0	0	13.932432432432432	737.7138369982778	TCERG1;DDX5;RPL34;RTCB;SRSF1;HMGB3;PEBP1;HNRNPU;HNRNPR;HMGB1;RPL18A;SNRNP70;TMSB4X;KHSRP;RPL13;FLNB;RALY;DDX17;CPSF7;YTHDF2;EIF1AX;FUS;HNRNPAB;ARCN1;HNRNPL;SFPQ;ILF3;HNRNPK;PSMA1;CLNS1A;FUBP1;HNRNPD;RPS20;HNRNPC;RBMX;RAN;SRSF9
mRNA binding (GO:0003729)	13/263	1.117589340701866E-11	7.767245917877969E-10	0	0	17.0534	430.04005633118317	DDX5;YTHDF2;SRSF1;HNRNPU;HNRNPR;HNRNPAB;HNRNPL;HNRNPK;SNRNP70;KHSRP;FUBP1;HNRNPC;RBMX
mRNA 3'-UTR binding (GO:0003730)	5/85	1.4734882868689519E-5	6.827162395826144E-4	0	0	18.24172794117647	202.94456618345237	ILF3;DDX5;KHSRP;HNRNPU;HNRNPC
pre-mRNA binding (GO:0036002)	3/29	1.592237390666739E-4	0.005533024932566919	0	0	32.80384615384615	286.8762013198177	HNRNPL;DDX5;HNRNPU
N6-methyladenosine-containing RNA binding (GO:1990247)	2/7	2.726962614621149E-4	0.007580956068646794	0	0	112.23661971830985	921.142995474641	YTHDF2;HNRNPC
single-stranded DNA binding (GO:0003697)	4/97	4.379594554839917E-4	0.010146060718712475	0	0	12.36340969300296	95.61099741612263	FUBP1;HNRNPU;HMGB1;MCM6
DNA binding, bending (GO:0008301)	2/16	0.0015254766756261087	0.0299683593006279	0	0	40.06639839034205	259.848557073974	HMGB3;HMGB1
four-way junction DNA binding (GO:0000400)	2/17	0.001724797657590095	0.0299683593006279	0	0	37.393427230046946	237.92112281582436	HMGB3;HMGB1
telomerase RNA binding (GO:0070034)	2/22	0.0028952732366765354	0.04024429798980384	0	0	28.038028169014083	163.87318444267802	HNRNPU;HNRNPC
mRNA 3'-UTR AU-rich region binding (GO:0035925)	2/22	0.0028952732366765354	0.04024429798980384	0	0	28.038028169014083	163.87318444267802	ILF3;KHSRP
poly-pyrimidine tract binding (GO:0008187)	2/25	0.0037336095301643297	0.04717924769934926	0	0	24.377219840783834	136.27791764114787	HNRNPU;HNRNPC
androgen receptor binding (GO:0050681)	2/27	0.004347798807470599	0.05036200285320111	0	0	22.424788732394365	121.94792031249217	DDX5;PKN1
DNA secondary structure binding (GO:0000217)	2/33	0.006448617710717616	0.06403583997810411	0	0	18.07905497501136	91.18875518880436	HMGB3;HMGB1
cadherin binding (GO:0045296)	5/322	0.006449652947434947	0.06403583997810411	0	0	4.548617554277231	22.941994069284657	HNRNPK;RPL34;TAGLN2;FLNB;RAN
snRNA binding (GO:0017069)	2/43	0.010772732804316568	0.09982732398666687	0	0	13.662658880109928	61.90191516841718	SNRNP70;HNRNPU
single-stranded RNA binding (GO:0003727)	2/45	0.011755406983254994	0.1002515926317985	0	0	13.025876187356697	57.87972501790881	ILF3;HNRNPU
endopeptidase regulator activity (GO:0061135)	2/46	0.012260986149212767	0.1002515926317985	0	0	12.729193341869399	56.02541764199213	ADRM1;KNG1
C-X-C chemokine binding (GO:0019958)	1/5	0.018118915662048707	0.12164619160462294	0	0	69.17708333333333	277.45536435713205	HMGB1
protein serine/threonine phosphatase activity (GO:0004722)	2/62	0.021579189776007694	0.12164619160462294	0	0	9.327230046948356	35.779495708815226	PPP5C;ILKAP
supercoiled DNA binding (GO:0097100)	1/6	0.02170366274746418	0.12164619160462294	0	0	55.33888888888889	211.9631207182121	HMGB1
pre-miRNA binding (GO:0070883)	1/6	0.02170366274746418	0.12164619160462294	0	0	55.33888888888889	211.9631207182121	RAN
primary miRNA binding (GO:0070878)	1/6	0.02170366274746418	0.12164619160462294	0	0	55.33888888888889	211.9631207182121	DDX5
histone threonine kinase activity (GO:0035184)	1/7	0.025275502302547336	0.12164619160462294	0	0	46.113425925925924	169.6014749165987	PKN1
oxidoreductase activity, acting on a sulfur group of donors, oxygen as acceptor (GO:0016670)	1/7	0.025275502302547336	0.12164619160462294	0	0	46.113425925925924	169.6014749165987	PCYOX1
actin binding (GO:0003779)	3/177	0.026981692109696635	0.12164619160462294	0	0	4.8652709359605915	17.576261791020464	TMSB4X;HNRNPU;FLNB
DNA binding (GO:0003677)	7/811	0.028282749106561502	0.12164619160462294	0	0	2.5226330468867784	8.994456282843771	SFPQ;ILF3;FUBP1;HMGB3;HNRNPU;HMGB1;MCM6
RNA polymerase II C-terminal domain binding (GO:0099122)	1/8	0.028834479875414456	0.12164619160462294	0	0	39.523809523809526	140.15867684434946	HNRNPU
poly(G) binding (GO:0034046)	1/8	0.028834479875414456	0.12164619160462294	0	0	39.523809523809526	140.15867684434946	HNRNPU
pre-mRNA intronic binding (GO:0097157)	1/8	0.028834479875414456	0.12164619160462294	0	0	39.523809523809526	140.15867684434946	HNRNPL
bubble DNA binding (GO:0000405)	1/8	0.028834479875414456	0.12164619160462294	0	0	39.523809523809526	140.15867684434946	HMGB1
U1 snRNA binding (GO:0030619)	1/8	0.028834479875414456	0.12164619160462294	0	0	39.523809523809526	140.15867684434946	SNRNP70
ubiquitin ligase inhibitor activity (GO:1990948)	1/8	0.028834479875414456	0.12164619160462294	0	0	39.523809523809526	140.15867684434946	RPS20
double-stranded RNA binding (GO:0003725)	2/73	0.029231027112912242	0.12164619160462294	0	0	7.877802023408054	27.828529138152547	ILF3;HNRNPU
ubiquitin binding (GO:0043130)	2/74	0.02997323503031055	0.12164619160462294	0	0	7.767996870109546	27.24586420461107	USP5;ADRM1
phosphatidylethanolamine binding (GO:0008429)	1/9	0.03238064093072697	0.12164619160462294	0	0	34.58159722222222	118.62160586885466	PEBP1
ubiquitin-protein transferase inhibitor activity (GO:0055105)	1/9	0.03238064093072697	0.12164619160462294	0	0	34.58159722222222	118.62160586885466	RPS20
RAGE receptor binding (GO:0050786)	1/9	0.03238064093072697	0.12164619160462294	0	0	34.58159722222222	118.62160586885466	HMGB1
chloride channel inhibitor activity (GO:0019869)	1/10	0.03591403083014349	0.12480125713474863	0	0	30.737654320987655	102.25271781730339	STX1A
adenylate cyclase binding (GO:0008179)	1/10	0.03591403083014349	0.12480125713474863	0	0	30.737654320987655	102.25271781730339	AKAP12
endopeptidase activator activity (GO:0061133)	1/10	0.03591403083014349	0.12480125713474863	0	0	30.737654320987655	102.25271781730339	ADRM1
histone methyltransferase binding (GO:1990226)	1/11	0.039434694821538385	0.12747494372543802	0	0	27.6625	89.43588520720674	CBX1
vinculin binding (GO:0017166)	1/11	0.039434694821538385	0.12747494372543802	0	0	27.6625	89.43588520720674	RTCB
nuclear export signal receptor activity (GO:0005049)	1/11	0.039434694821538385	0.12747494372543802	0	0	27.6625	89.43588520720674	RAN
transcription regulatory region nucleic acid binding (GO:0001067)	3/212	0.04251667680159684	0.13431404716868092	0	0	4.043335611756665	12.76828328535709	HNRNPL;SFPQ;HMGB1
histone deacetylase binding (GO:0042826)	2/93	0.04542755057999799	0.1403206562359938	0	0	6.140225971211887	18.983346835348595	SFPQ;PKN1
alkali metal ion binding (GO:0031420)	1/13	0.04643802536608	0.14032359838880695	0	0	23.04976851851852	70.7544140609547	IMPA1
RNA polymerase II core promoter sequence-specific DNA binding (GO:0000979)	1/14	0.04992078172269975	0.14456226373865136	0	0	21.275641025641026	63.76985958511893	RUVBL2
protein kinase C activity (GO:0004697)	1/14	0.04992078172269975	0.14456226373865136	0	0	21.275641025641026	63.76985958511893	PKN1
chloride channel regulator activity (GO:0017081)	1/15	0.05339099174661933	0.15145607862816501	0	0	19.754960317460316	57.88427080418689	STX1A
3'-5' DNA helicase activity (GO:0043138)	1/16	0.056848699968537475	0.15803938591253416	0	0	18.437037037037037	52.8656580429068	MCM6
RNA polymerase binding (GO:0070063)	1/18	0.06372678840915502	0.17034660747831823	0	0	16.266339869281047	44.783677915691136	TCERG1
DNA polymerase binding (GO:0070182)	1/18	0.06372678840915502	0.17034660747831823	0	0	16.266339869281047	44.783677915691136	HMGB1
single-stranded DNA helicase activity (GO:0017116)	1/19	0.06714725693918218	0.1728420132323393	0	0	15.361882716049383	41.49040525939519	MCM6
R-SMAD binding (GO:0070412)	1/19	0.06714725693918218	0.1728420132323393	0	0	15.361882716049383	41.49040525939519	DDX5
nuclear receptor binding (GO:0016922)	2/120	0.07124721121579702	0.1800611337999234	0	0	4.728813559322034	12.491632013543368	DDX5;PKN1
peptidase activator activity (GO:0016504)	1/22	0.07733488642276296	0.18219574936888222	0	0	13.165343915343914	33.69814742858341	ADRM1
TBP-class protein binding (GO:0017025)	1/22	0.07733488642276296	0.18219574936888222	0	0	13.165343915343914	33.69814742858341	RUVBL2
poly(A) binding (GO:0008143)	1/22	0.07733488642276296	0.18219574936888222	0	0	13.165343915343914	33.69814742858341	HNRNPU
poly(U) RNA binding (GO:0008266)	1/22	0.07733488642276296	0.18219574936888222	0	0	13.165343915343914	33.69814742858341	HNRNPC
DNA replication origin binding (GO:0003688)	1/23	0.08070631631088798	0.18247321830676763	0	0	12.566287878787879	31.62857298179009	MCM6
phosphatidylinositol phospholipase C activity (GO:0004435)	1/23	0.08070631631088798	0.18247321830676763	0	0	12.566287878787879	31.62857298179009	PLCD1
ATP binding (GO:0005524)	3/278	0.08139093190661578	0.18247321830676763	0	0	3.062649350649351	7.682629599638841	PPP5C;HNRNPU;MCM6
actin monomer binding (GO:0003785)	1/25	0.08741276636564344	0.18414989199193274	0	0	11.517939814814815	28.070531668147478	TMSB4X
phospholipase C activity (GO:0004629)	1/25	0.08741276636564344	0.18414989199193274	0	0	11.517939814814815	28.070531668147478	PLCD1
NF-kappaB binding (GO:0051059)	1/25	0.08741276636564344	0.18414989199193274	0	0	11.517939814814815	28.070531668147478	CPNE1
purine ribonucleoside triphosphate binding (GO:0035639)	4/460	0.08743807821199684	0.18414989199193274	0	0	2.47533689295703	6.031961372933866	PPP5C;HNRNPU;MCM6;RAN
general transcription initiation factor binding (GO:0140296)	1/26	0.09074787272717313	0.18826797476234428	0	0	11.056666666666667	26.53235403248719	RUVBL2
