Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Spliceosome	10/150	1.73E-10	1.16E-08	0	0	22.43424036	504.3266804	TCERG1;DDX5;HNRNPK;SNRNP70;FUS;SRSF1;HNRNPU;HNRNPC;RBMX;SRSF9
Ribosome	4/158	0.002673254	0.089554002	0	0	7.4432524	44.09724289	RPL18A;RPL34;RPL13;RPS20
RNA transport	4/186	0.00478438	0.106851157	0	0	6.289218028	33.59951084	EIF1AX;FUS;CLNS1A;RAN
Coronavirus disease	4/232	0.010286145	0.164297214	0	0	5.0086448	22.92435393	RPL18A;RPL34;RPL13;RPS20
Proteasome	2/46	0.012260986	0.164297214	0	0	12.72919334	56.02541764	PSMA1;ADRM1
Apoptosis	3/142	0.015178435	0.16949252	0	0	6.101130524	25.55080026	LMNA;LMNB2;LMNB1
Inositol phosphate metabolism	2/73	0.029231027	0.249079773	0	0	7.877802023	27.82852914	IMPA1;PLCD1
Pathways of neurodegeneration	5/475	0.029740868	0.249079773	0	0	3.043961202	10.70023328	PSMA1;FUS;ADRM1;UBE2G1;STX1A
Regulation of actin cytoskeleton	3/218	0.045546929	0.303886288	0	0	3.929302326	12.13766234	TMSB4X;CFL1;KNG1
Phosphatidylinositol signaling system	2/97	0.048986572	0.303886288	0	0	5.880504077	17.73682968	IMPA1;PLCD1
mRNA surveillance pathway	2/98	0.049891779	0.303886288	0	0	5.818955399	17.44464085	CPSF7;FUS
Parkinson disease	3/249	0.062846004	0.350890189	0	0	3.428745645	9.487572096	PSMA1;ADRM1;UBE2G1
Terpenoid backbone biosynthesis	22-Jan	0.077334886	0.398572107	0	0	13.16534392	33.69814743	PCYOX1
Spinocerebellar ataxia	2/143	0.096121933	0.446607628	0	0	3.952851863	9.258123611	PSMA1;ADRM1
Huntington disease	3/306	0.101275443	0.446607628	0	0	2.775671853	6.356042377	PSMA1;ADRM1;STX1A
SNARE interactions in vesicular transport	1/33	0.113759387	0.446607628	0	0	8.634982639	18.76960016	STX1A
Base excision repair	1/33	0.113759387	0.446607628	0	0	8.634982639	18.76960016	HMGB1
DNA replication	1/36	0.123444733	0.446607628	0	0	7.893650794	16.51321534	MCM6
African trypanosomiasis	1/37	0.126649924	0.446607628	0	0	7.673996914	15.85699852	KNG1
Amyotrophic lateral sclerosis	3/364	0.147770705	0.495031862	0	0	2.322833399	4.441474637	PSMA1;FUS;ADRM1
Transcriptional misregulation in cancer	2/192	0.155378256	0.495730628	0	0	2.926167532	5.448210173	DDX5;FUS
Proteoglycans in cancer	2/205	0.172102823	0.524131323	0	0	2.736973566	4.816151595	DDX5;FLNB
Amphetamine addiction	1/69	0.223330885	0.535953448	0	0	4.056168301	6.080605217	STX1A
Salmonella infection	2/249	0.230471562	0.535953448	0	0	2.244397559	3.293940256	FLNB;PKN1
Pertussis	1/76	0.243028917	0.535953448	0	0	3.676296296	5.200396261	CFL1
Arrhythmogenic right ventricular cardiomyopathy	1/77	0.245802396	0.535953448	0	0	3.627741228	5.09054565	LMNA
Synaptic vesicle cycle	1/78	0.248565853	0.535953448	0	0	3.58044733	4.984152639	STX1A
Prion disease	2/273	0.262907607	0.535953448	0	0	2.043137051	2.72953428	PSMA1;ADRM1
Complement and coagulation cascades	1/85	0.267632386	0.535953448	0	0	3.280919312	4.324714046	KNG1
Insulin secretion	1/86	0.270316933	0.535953448	0	0	3.242156863	4.241260512	STX1A
ECM-receptor interaction	1/88	0.275656944	0.535953448	0	0	3.167305236	4.081383649	AGRN
Hypertrophic cardiomyopathy	1/90	0.280958406	0.535953448	0	0	3.095817728	3.930291192	LMNA
MAPK signaling pathway	2/294	0.291341551	0.535953448	0	0	1.894173259	2.336006188	PPP5C;FLNB
IL-17 signaling pathway	1/94	0.291446782	0.535953448	0	0	2.962066906	3.651925938	SRSF1
Dilated cardiomyopathy	1/96	0.296634239	0.535953448	0	0	2.899415205	3.523530039	LMNA
Fc gamma R-mediated phagocytosis	1/97	0.299213902	0.535953448	0	0	2.869068287	3.461807953	CFL1
Inflammatory mediator regulation of TRP channels	1/98	0.301784233	0.535953448	0	0	2.839347079	3.401659824	KNG1
AGE-RAGE signaling pathway in diabetic complications	1/100	0.306897033	0.535953448	0	0	2.781705948	3.285870637	PLCD1
Chagas disease	1/102	0.311972903	0.535953448	0	0	2.726347635	3.175755905	KNG1
Ribosome biogenesis in eukaryotes	1/108	0.326981551	0.547694098	0	0	2.572689512	2.875884903	RAN
Sphingolipid signaling pathway	1/119	0.353663425	0.569412753	0	0	2.331567797	2.423453936	KNG1
Thyroid hormone signaling pathway	1/121	0.358401321	0.569412753	0	0	2.292476852	2.352314883	PLCD1
Cell cycle	1/124	0.365444006	0.569412753	0	0	2.236224029	2.2510775	MCM6
Alzheimer disease	2/369	0.391022227	0.572688576	0	0	1.50132402	1.409729554	PSMA1;ADRM1
Autophagy	1/137	0.395091489	0.572688576	0	0	2.021139706	1.876906979	HMGB1
Yersinia infection	1/137	0.395091489	0.572688576	0	0	2.021139706	1.876906979	PKN1
Ubiquitin mediated proteolysis	1/140	0.401736763	0.572688576	0	0	1.977218225	1.803140422	UBE2G1
Necroptosis	1/159	0.442182603	0.612623035	0	0	1.737781294	1.418085757	HMGB1
JAK-STAT signaling pathway	1/162	0.448317322	0.612623035	0	0	1.705141477	1.36795655	GFAP
cGMP-PKG signaling pathway	1/167	0.458394309	0.612623035	0	0	1.653363454	1.289665703	KNG1
Protein processing in endoplasmic reticulum	1/171	0.466324997	0.612623035	0	0	1.614133987	1.231378381	UBE2G1
NOD-like receptor signaling pathway	1/181	0.485654078	0.616335	0	0	1.523688272	1.100497083	PKN1
Axon guidance	1/182	0.487548582	0.616335	0	0	1.51519337	1.088462398	CFL1
Neutrophil extracellular trap formation	1/189	0.500618762	0.617525957	0	0	1.458259456	1.008984915	HMGB1
Focal adhesion	1/201	0.522264103	0.617525957	0	0	1.369930556	0.889882057	FLNB
Epstein-Barr virus infection	1/202	0.524025538	0.617525957	0	0	1.363045882	0.880820504	ADRM1
Viral carcinogenesis	1/203	0.525780566	0.617525957	0	0	1.356229373	0.871880979	HNRNPK
Human immunodeficiency virus 1 infection	1/212	0.54129132	0.617525957	0	0	1.29778831	0.796579429	CFL1
Herpes simplex virus 1 infection	2/498	0.545885439	0.617525957	0	0	1.103532485	0.668019134	SRSF1;SRSF9
Human T-cell leukemia virus 1 infection	1/219	0.55300832	0.617525957	0	0	1.255670234	0.743836737	RAN
Calcium signaling pathway	1/240	0.586416722	0.642762417	0	0	1.144119014	0.610644477	PLCD1
Shigellosis	1/246	0.595501064	0.642762417	0	0	1.115759637	0.578356355	PLCD1
Endocytosis	1/252	0.604388541	0.642762417	0	0	1.088756087	0.548230071	EPN1
MicroRNAs in cancer	1/310	0.68095777	0.712877666	0	0	0.881787127	0.3388311	HNRNPK
Neuroactive ligand-receptor interaction	1/341	0.715682658	0.737703662	0	0	0.800122549	0.267655736	KNG1
PI3K-Akt signaling pathway	1/354	0.729109802	0.74015692	0	0	0.770144791	0.243312567	PKN1
Pathways in cancer	1/531	0.860253762	0.860253762	0	0	0.508307128	0.076514384	KNG1
