Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Metabolism Homo sapiens R-HSA-1430728	40/1908	8.108197929470529E-10	3.8838268082163834E-7	0	0	3.565707034657784	74.64085724794833	NDUFA13;ARF1;AHCY;SHMT2;GSTP1;MRI1;IQGAP1;MAT2B;ENO2;COX5A;HK1;PPP1CB;RPS4X;LDHB;LDHA;PHGDH;PCBD1;RPS2;NDUFV1;CBR1;DUT;TPI1;SORD;PAICS;GRHPR;UGDH;MARCKS;MTHFD1;KARS;DDAH1;FABP5;VAPA;GNB1;CAT;PLIN3;NDUFS1;P4HB;ALDH7A1;DCTPP1;RPS23
Detoxification of Reactive Oxygen Species Homo sapiens R-HSA-3299685	5/33	4.163890862592719E-6	9.972518615909561E-4	0	0	24.755244755244757	306.694227868999	PRDX5;GSTP1;CAT;P4HB;PRDX6
L1CAM interactions Homo sapiens R-HSA-373760	7/96	7.246057538257945E-6	0.0011569538536085186	0	0	11.024065662602597	130.47040166611384	DLG4;RDX;DCX;MSN;NRCAM;EZR;SH3GL2
Cellular responses to stress Homo sapiens R-HSA-2262752	12/367	1.8963157342167796E-5	0.0022708380917245935	0	0	4.8459817729908865	52.69042062760852	PRDX5;MAP1LC3B;ST13;GSTP1;CAT;CAMK2A;HIST1H1D;TNIK;P4HB;HSPA12A;PRDX6;HIST1H1C
Recycling pathway of L1 Homo sapiens R-HSA-437239	4/26	3.791777032373706E-5	0.00363252239701401	0	0	25.03787878787879	254.88787654016514	RDX;MSN;EZR;SH3GL2
Unwinding of DNA Homo sapiens R-HSA-176974	3/12	8.318105963217211E-5	0.006029508379921315	0	0	45.61609195402299	428.5399600579239	MCM7;MCM3;MCM2
DNA strand elongation Homo sapiens R-HSA-69190	4/32	8.811390116795241E-5	0.006029508379921315	0	0	19.666666666666668	183.62531156281955	PCNA;MCM7;MCM3;MCM2
Metabolism of amino acids and derivatives Homo sapiens R-HSA-71291	10/335	2.0110934056923445E-4	0.012041421766582914	0	0	4.3538461538461535	37.05846605554907	RPS4X;GRHPR;AHCY;KARS;MRI1;PHGDH;PCBD1;RPS2;ALDH7A1;RPS23
Axon guidance Homo sapiens R-HSA-422475	12/515	4.587174695745933E-4	0.024413963102914465	0	0	3.3941644252134253	26.091200137895186	DLG4;RDX;PEA15;CAMK2A;DCX;MSN;NRCAM;IQGAP1;PFN1;EZR;SRGAP2;SH3GL2
Apoptotic execution  phase Homo sapiens R-HSA-75153	4/51	5.491437022377603E-4	0.026303983337188717	0	0	11.705082742316785	87.87181656756027	DBNL;HIST1H1D;VIM;HIST1H1C
