Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Pathogenic Escherichia coli infection WP2272	11/55	1.355198969488816E-11	3.5777252794504744E-9	0	0	24.192401960784313	605.4024662308594	CDC42;TUBB2B;TUBA1A;TUBB2A;TUBB3;ARPC3;TUBB;ARHGEF2;TUBB4B;YWHAZ;TUBB4A
Synaptic Vesicle Pathway WP2267	9/51	3.335109110175863E-9	3.3254138926909887E-7	0	0	20.537101248266296	400.8587594260891	NSF;DNM3;SNAP25;STX1B;STXBP1;CLTC;SYN3;DNM1;VAMP2
Parkin-Ubiquitin Proteasomal System pathway WP2359	10/70	3.778879423512487E-9	3.3254138926909887E-7	0	0	16.036585365853657	311.01094379137874	TUBB2B;PSMC5;TUBA1A;TUBB2A;PSMC6;TUBB3;TUBB;PSMC2;TUBB4B;TUBB4A
Proteasome Degradation WP183	7/62	4.48132639661212E-6	2.4049167037348287E-4	0	0	12.072552447552448	148.68062412149368	UCHL1;PSMA3;PSMC5;PSMC6;PSMB2;PSMC2;HIST1H2AB
Calcium Regulation in the Cardiac Cell WP536	10/150	5.282122286606487E-6	2.4049167037348287E-4	0	0	6.844947735191638	83.17420976838186	CAMK2B;PRKAR1A;PRKAR2B;GNAQ;ATP1B1;YWHAZ;YWHAG;GNAI1;YWHAH;GNAI2
Metabolic reprogramming in colon cancer WP4290	6/42	5.46571978121552E-6	2.4049167037348287E-4	0	0	15.748803827751196	190.8284880797743	ACLY;FASN;ENO1;ACO2;PGD;GAPDH
Regulation of Microtubule Cytoskeleton WP2038	6/46	9.416416686044863E-6	3.5513342930226343E-4	0	0	14.171052631578947	164.00238477736244	CDC42;GSK3B;DPYSL2;MAP1B;GNAQ;MAPT
Fragile X Syndrome  WP4549	8/121	4.977291474336803E-5	0.0015999256540531475	0	0	6.728057800008551	66.66186313070095	CAMK2B;ALDH5A1;PRKAR1A;MAP1B;CLTC;KRAS;GPHN;DNM1
Sudden Infant Death Syndrome (SIDS) Susceptibility Pathways WP706	9/158	5.454292002453912E-5	0.0015999256540531475	0	0	5.757607349970678	56.51968291958569	SNAP25;PRKAR1A;PRKAR2B;ATP1A3;YWHAZ;GAPDH;YWHAG;VAMP2;YWHAH
Splicing factor NOVA regulated synaptic proteins WP4148	5/42	8.432396856650651E-5	0.002226152770155772	0	0	12.707850707850708	119.21037025980216	CHL1;EPB41L1;NCDN;NEO1;GPHN
Glycolysis in senescence WP5049	3/11	1.8966535013035415E-4	0.004551968403128499	0	0	34.982900943396224	299.81218420581337	ALDOC;ENO1;GAPDH
Lipid Metabolism Pathway WP3965	4/29	2.497783400904498E-4	0.005495123481989896	0	0	14.98388625592417	124.29038760889014	ACLY;PRKAR2B;PRKAR1A;FASN
Myometrial relaxation and contraction pathways WP289	8/156	2.9116326488971264E-4	0.005855743714679721	0	0	5.127823475649563	41.74882298588935	CAMK2B;ACTC1;PRKAR1A;PRKAR2B;GNAQ;YWHAZ;YWHAG;YWHAH
Pathways in clear cell renal cell carcinoma WP4018	6/85	3.105318636572579E-4	0.005855743714679721	0	0	7.161044152383259	57.84135798902519	ACLY;FASN;ALDOC;ENO1;GAPDH;PFKP
Disruption of postsynaptic signaling by CNV WP4875	4/33	4.161113344137118E-4	0.007323559485681329	0	0	12.914528517731656	100.53389244954433	CAMK2B;TJP1;NRXN2;YWHAG
G Protein Signaling Pathways WP35	6/93	5.04097109538106E-4	0.00831760230737875	0	0	6.499917505362151	49.35219423971517	PRKAR1A;PRKAR2B;GNAQ;KRAS;GNAI1;GNAI2
Brain-derived neurotrophic factor (BDNF) signaling pathway WP2380	7/144	9.536214939935139E-4	0.014809180847899275	0	0	4.826501965188097	33.56949749290897	NSF;CDC42;GSK3B;DPYSL2;SIRPA;NCAM1;MAPT
Prolactin Signaling Pathway WP2037	5/76	0.0013631230616610334	0.019037796171548788	0	0	6.610999329309188	43.61922048381245	GSK3B;SIRPA;YWHAZ;PPIA;YWHAG
Glycolysis and Gluconeogenesis WP534	4/45	0.0013701444214372234	0.019037796171548788	0	0	9.12911802103803	60.1868064894923	ALDOC;ENO1;GAPDH;PFKP
Gastrin signaling pathway WP4659	6/114	0.0014643728873575041	0.019329722113119053	0	0	5.2304625199362045	34.13571499789734	CDC42;TJP1;GSK3B;GNAQ;KRAS;RHOB
Fatty Acid Biosynthesis WP357	3/22	0.0016223482903171822	0.0200466070896148	0	0	14.721449851042701	94.5688363583507	ACLY;FASN;ECH1
Metastatic brain tumor WP2249	2/6	0.0016770008542963586	0.0200466070896148	0	0	46.43427230046948	296.74974614939794	CDC42;CDK6
Spinal Cord Injury WP2431	6/118	0.0017464847085649259	0.0200466070896148	0	0	5.042634996582365	32.02148988032123	CDC42;GAP43;PTPRZ1;MIF;RTN4;RHOB
Alzheimer's disease WP2059	5/83	0.002016496708706313	0.022181463795769442	0	0	6.0155677655677655	37.334981135211045	GSK3B;PPP3CB;GNAQ;MAPT;GAPDH
Cardiac Progenitor Differentiation WP2406	4/53	0.0025187412924974955	0.026170904087820662	0	0	7.635554695811974	45.69112867618776	GSK3B;ACTC1;SIRPA;NCAM1
VEGFA-VEGFR2 Signaling Pathway WP3888	12/432	0.00257743752380052	0.026170904087820662	0	0	2.725545390570021	16.246865910555986	CDC42;GSK3B;PTPRZ1;CLTC;RPLP2;MYH9;CCT7;PGD;NDRG1;ACP1;GAPDH;EIF4G2
Amino Acid metabolism WP3925	5/91	0.0030144929571228446	0.029475042247423373	0	0	5.453765227021041	31.655418414416392	ACLY;IDH1;GSS;ACO2;SRM
Corticotropin-releasing hormone signaling pathway WP2355	5/93	0.0033113231460745463	0.031221046805845722	0	0	5.329274891774892	30.43233092492608	GSK3B;PARP1;GNAQ;GNAI1;GNAI2
Pathways Regulating Hippo Signaling WP4540	5/98	0.004144676632958913	0.03773084934831562	0	0	5.04147465437788	27.657179607724824	CDC42;PRKAR1A;PRKAR2B;GNAQ;GNAI2
7q11.23 copy number variation syndrome WP4932	5/104	0.005330536022234706	0.046908716995665414	0	0	4.734487734487734	24.781745619142672	SNAP25;CLTC;GAPDH;VAMP2;CLASP2
The influence of laminopathies on Wnt signaling WP4844	3/35	0.006223569700830858	0.0530007226135273	0	0	8.735112028301886	44.36922962561803	GSK3B;CDK6;EMD
Computational Model of Aerobic Glycolysis WP4629	2/12	0.007071713317772018	0.056573706542176146	0	0	18.568075117370892	91.94265542868631	ENO1;GAPDH
RalA downstream regulated genes WP2290	2/12	0.007071713317772018	0.056573706542176146	0	0	18.568075117370892	91.94265542868631	CDC42;KRAS
Primary focal segmental glomerulosclerosis (FSGS) WP2572	4/72	0.007556374076568018	0.058673022241586964	0	0	5.496793978254809	26.85383844575495	CAMK2B;MYH9;TLN1;DNM1
Cell-type Dependent Selectivity of CCK2R Signaling WP3679	2/13	0.008298653259884334	0.06259555601741326	0	0	16.879214682031584	80.87949217571365	GNAQ;GNAI1
Ferroptosis WP4313	3/40	0.009033491594703935	0.06275899423689049	0	0	7.552779194288628	35.54954437461373	FTH1;GSS;SLC3A2
Glycogen Synthesis and Degradation WP500	3/40	0.009033491594703935	0.06275899423689049	0	0	7.552779194288628	35.54954437461373	GSK3B;PPP2R5E;PPP2R2A
IL-5 signaling pathway WP127	3/40	0.009033491594703935	0.06275899423689049	0	0	7.552779194288628	35.54954437461373	GSK3B;KRAS;MAPT
Cell cycle WP179	5/120	0.00963164485326093	0.06519882669899707	0	0	4.072463768115942	18.907232678296797	GSK3B;CDK6;YWHAZ;YWHAG;YWHAH
TCA Cycle and Deficiency of Pyruvate Dehydrogenase complex (PDHc) WP2453	2/16	0.012499920116933438	0.08249947277176069	0	0	13.260228034875922	58.10675717236067	ACLY;IDH1
Envelope proteins and their potential roles in EDMD physiopathology WP4535	3/46	0.013243233558398827	0.08440325414880015	0	0	6.49692847740237	28.09446336835875	KRAS;EMD;TMPO
22q11.2 copy number variation syndrome WP4657	5/131	0.013692722240697978	0.08440325414880015	0	0	3.7148526077097506	15.940026917169577	CDC42;HIST1H4A;ACTC1;COMT;RTN4
