Protein	Gene	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32
Ubiquitin-like modifier-activating enzyme 6	UBA6	23.90683	22.73606	23.08072	20.21069	22.86666	20.62542	22.42297	22.56062	23.83871	23.95111	23.42514	19.30046	22.86125	19.0377	23.37968	23.58713	22.06661	23.40788	23.9379	23.51073	23.00734	22.75436	23.32622	23.14621	19.5073	22.4339	20.16987	18.95386	23.20222	22.7191	22.05983	22.91221
Extended synaptotagmin-2 (Fragment)	ESYT2	21.36938	21.88679	20.97502	18.79285	19.19238	20.86045	21.50427	21.099	19.10518	19.15348	20.32711	20.7282	19.35958	19.99227	19.00491	19.40027	20.67041	20.58556	21.14907	19.59448	20.96748	20.26028	21.02912	22.12313	20.35456	20.99162	20.40492	20.2149	20.84216	20.5429	18.61296	19.03044
Isoform 8 of Shootin-1	KIAA1598	25.48997	25.43061	25.50563	26.1741	25.65247	25.37981	24.60617	25.84382	26.69221	26.79836	26.58796	26.46751	26.43271	26.41693	26.68335	26.52682	26.57619	26.99456	26.73604	26.89311	26.79414	26.732	26.89454	26.8134	25.77999	26.1328	26.30762	26.42918	26.43165	26.06274	26.28975	26.37197
Solute carrier family 22 member 23	SLC22A23	21.34524	18.65771	21.14594	21.36554	18.12829	19.857	21.02933	19.45252	23.19905	23.68569	23.54056	23.72184	23.5964	24.10512	22.8965	22.09066	21.25687	23.21971	22.98708	22.61421	23.32511	22.85796	22.66714	22.12877	21.96648	19.45605	21.23888	21.65268	21.7469	20.52651	21.96293	21.51504
RNA-binding protein MEX3A	MEX3A	23.26826	22.88095	22.75442	25.45427	23.0807	24.41577	24.98678	21.50257	22.83103	22.17681	21.95284	22.23994	20.93704	20.84812	20.01154	20.01121	21.89877	21.59955	21.89711	21.84899	21.61115	21.37602	20.5871	19.99624	21.83448	23.26349	23.85598	24.303	23.50467	22.60149	22.21855	20.70308
Isoform 2 of O-acetyl-ADP-ribose deacetylase MACROD2	MACROD2	21.51333	19.31469	20.01917	20.32534	18.67943	19.17132	20.32494	23.86921	22.3895	19.04173	23.15485	22.7069	21.77563	22.41005	22.8903	21.90162	20.39932	22.19527	23.24809	22.99433	22.39724	23.34196	22.58199	22.11257	20.73513	22.81319	22.87791	22.63357	22.67036	22.69084	22.32961	21.50583
Neuroblastoma-amplified sequence (Fragment)	NBAS	18.63349	20.82265	19.86477	20.89197	19.07213	19.41744	21.82406	21.30419	19.59292	18.8165	20.13572	20.84405	20.88514	20.35932	18.89416	19.19951	20.83572	19.65821	20.07216	20.89138	20.01317	19.46977	18.3778	18.66401	19.91763	20.39095	18.87637	19.69047	18.4866	19.85754	18.97743	19.3798
PH and SEC7 domain-containing protein 1	PSD	20.40717	18.92817	19.71395	20.18717	19.51439	20.37438	21.29183	19.99068	18.41839	19.91862	19.85291	20.97694	20.07166	19.69773	20.26926	19.47137	21.25615	21.7936	19.02998	22.25004	18.34009	19.76159	21.18898	21.90529	20.44221	19.51771	21.82978	22.27464	22.27096	22.19436	22.7207	22.81945
Isoform 2 of CCR4-NOT transcription complex subunit 1	CNOT1	22.6586	20.71536	21.66278	21.76209	21.88435	20.57779	21.78616	21.52052	22.4087	22.39884	21.70742	20.77034	21.7305	21.07621	21.60477	19.98663	22.50978	20.33752	22.07404	21.66401	20.78437	21.5253	21.35493	19.92927	21.76344	22.85689	23.02282	20.87348	22.37218	22.73511	22.31471	21.62792
"Microtubule-associated protein 1 light chain 3 beta, isoform CRA"	MAP1LC3B	27.24945	27.6629	26.69891	28.15679	28.38157	28.02658	27.67434	26.95919	28.1231	28.27246	28.68523	28.24704	28.60092	27.93431	28.4834	28.1312	27.76713	28.66606	28.5058	27.61163	28.65839	29.18882	28.81808	27.72159	27.37961	27.51099	28.32749	27.74424	28.128	28.20937	28.27447	27.37954
